sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.85,10,DT-proxy base,RF,high_vpd,1957,0.18088911599386817
clean,0.85,10,DT-proxy base,RF,high_par,1961,0.12187659357470679
