sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.85,30,Causal+Lagged Controls,XGBoost,high_vpd,1950,0.19538461538461538
clean,0.85,30,Causal+Lagged Controls,XGBoost,high_par,1955,0.1421994884910486
