sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.85,120,DT-proxy base,Logistic,high_vpd,1943,0.27895007720020587
clean,0.85,120,DT-proxy base,Logistic,high_par,1942,0.22451081359423275
