feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,1.7651798723411238,clean,0.95,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.3201600090448597,clean,0.95,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.2664279453866739,clean,0.95,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.41024640480695723,clean,0.95,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.32358904125887794,clean,0.95,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.2661645539341648,clean,0.95,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.5045073628425598,clean,0.95,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.3663753271102905,clean,0.95,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.12911736965179443,clean,0.95,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,1.8567501726277027,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,0.7316369598490963,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,0.7041518260205929,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,0.502421250742038,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag3,0.36501207420093396,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.2754953535356803,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag3,0.25945550507692855,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.2563900872960228,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.17993117171961187,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag1,0.14169810793171964,clean,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
