sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.95,120,Causal+Lagged Controls,Logistic,high_vpd,1943,0.11219763252702007
clean,0.95,120,Causal+Lagged Controls,Logistic,high_par,1942,0.08599382080329557
