sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.95,10,Causal-parents,XGBoost,high_vpd,1957,0.07715891670924885
clean,0.95,10,Causal-parents,XGBoost,high_par,1961,0.05609382967873534
