sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.95,60,Causal-parents,RF,high_vpd,1951,0.0912352639671963
clean,0.95,60,Causal-parents,RF,high_par,1953,0.0701484895033282
