sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.95,60,Causal-parents,XGBoost,high_vpd,1951,0.08815991799077397
noise_10,0.95,60,Causal-parents,XGBoost,high_par,1953,0.06810035842293907
