sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.95,30,DT-proxy base,RF,high_vpd,1950,0.07846153846153846
noise_10,0.95,30,DT-proxy base,RF,high_par,1955,0.058823529411764705
