roc_auc,roc_auc_mean,roc_auc_std,roc_auc_mean_std,pr_auc,pr_auc_mean,pr_auc_std,pr_auc_mean_std,f1,f1_mean,f1_std,f1_mean_std,brier,brier_mean,brier_std,brier_mean_std,precision,precision_mean,precision_std,precision_mean_std,recall,recall_mean,recall_std,recall_mean_std,top10_alert_precision,top10_alert_precision_mean,top10_alert_precision_std,top10_alert_precision_mean_std,sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,n_folds,n_samples,positive_rate
0.9271896817841883,0.9271896817841883,0.04490392692490151,0.927 ± 0.045,0.45613582757897253,0.45613582757897253,0.23227815863846982,0.456 ± 0.232,0.4186840699828059,0.4186840699828059,0.1808789278257152,0.419 ± 0.181,0.09630842576983586,0.09630842576983586,0.04813133419268821,0.096 ± 0.048,0.4053688182775138,0.4053688182775138,0.14976555263414557,0.405 ± 0.150,0.43689759036144576,0.43689759036144576,0.22008505618679025,0.437 ± 0.220,0.28662420382165604,0.28662420382165604,0.1694195678760559,0.287 ± 0.169,noise_10,0.95,3.896504981201129,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,5,10420,0.05019193857965451
0.9048060919463439,0.9048060919463439,0.05813268949570359,0.905 ± 0.058,0.4124289511548819,0.4124289511548819,0.27324629184578164,0.412 ± 0.273,0.38617986019270734,0.38617986019270734,0.25095545181398227,0.386 ± 0.251,0.03913976786777079,0.03913976786777079,0.020105271862108077,0.039 ± 0.020,0.387447075393667,0.387447075393667,0.2408055916561618,0.387 ± 0.241,0.38648835945284904,0.38648835945284904,0.26324417358736624,0.386 ± 0.263,0.2700636942675159,0.2700636942675159,0.1684951158974689,0.270 ± 0.168,noise_10,0.95,3.896504981201129,DT-proxy base,DT_PROXY_BASE,RF,rf,10,5,10420,0.05019193857965451
0.9128598004586609,0.9128598004586609,0.06313805601936204,0.913 ± 0.063,0.4016698845794112,0.4016698845794112,0.2741249500208655,0.402 ± 0.274,0.3474242105832671,0.3474242105832671,0.25988642328593836,0.347 ± 0.260,0.028093699925976,0.028093699925976,0.01553610974994298,0.028 ± 0.016,0.3549436173582515,0.3549436173582515,0.263454864013484,0.355 ± 0.263,0.3465008907811698,0.3465008907811698,0.2691948644485755,0.347 ± 0.269,0.2751592356687898,0.2751592356687898,0.16684980539438585,0.275 ± 0.167,noise_10,0.95,3.896504981201129,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,5,10420,0.05019193857965451
0.9115189385553053,0.9115189385553053,0.07280218426149185,0.912 ± 0.073,0.4719581182638177,0.4719581182638177,0.258005897786374,0.472 ± 0.258,0.32165017200514157,0.32165017200514157,0.25019651349307265,0.322 ± 0.250,0.04854123402743548,0.04854123402743548,0.028411045207627956,0.049 ± 0.028,0.5452846588439809,0.5452846588439809,0.36651055935176935,0.545 ± 0.367,0.25657124739559745,0.25657124739559745,0.22119463576874826,0.257 ± 0.221,0.289171974522293,0.289171974522293,0.19850755579037901,0.289 ± 0.199,noise_10,0.95,3.896504981201129,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,5,10420,0.05019193857965451
0.9221319643871372,0.9221319643871372,0.0313447952838252,0.922 ± 0.031,0.4158789401500826,0.4158789401500826,0.20054053942104672,0.416 ± 0.201,0.20990885373165152,0.20990885373165152,0.19773303226070363,0.210 ± 0.198,0.029076567686699823,0.029076567686699823,0.01472815048434485,0.029 ± 0.015,0.463894523326572,0.463894523326572,0.271493455906904,0.464 ± 0.271,0.14689781683123473,0.14689781683123473,0.1513773827063481,0.147 ± 0.151,0.29936305732484075,0.29936305732484075,0.18294785498528754,0.299 ± 0.183,noise_10,0.95,3.896504981201129,Causal-parents,CAUSAL_PARENTS,RF,rf,10,5,10420,0.05019193857965451
0.9225199648265872,0.9225199648265872,0.03859864378053169,0.923 ± 0.039,0.4018721935086803,0.4018721935086803,0.24744278764084127,0.402 ± 0.247,0.24856681819995616,0.24856681819995616,0.2331928250724725,0.249 ± 0.233,0.03005198000197652,0.03005198000197652,0.015986331367224434,0.030 ± 0.016,0.4381218349418411,0.4381218349418411,0.36752602548330654,0.438 ± 0.368,0.18792206419663618,0.18792206419663618,0.19055929348253947,0.188 ± 0.191,0.2955414012738854,0.2955414012738854,0.17962461025300502,0.296 ± 0.180,noise_10,0.95,3.896504981201129,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,5,10420,0.05019193857965451
0.8906820706888464,0.8906820706888464,0.07002271622387643,0.891 ± 0.070,0.44739632565086984,0.44739632565086984,0.26891157442378505,0.447 ± 0.269,0.2981517028287765,0.2981517028287765,0.24188112552628793,0.298 ± 0.242,0.05060994908936114,0.05060994908936114,0.029056339848851687,0.051 ± 0.029,0.5545812807881774,0.5545812807881774,0.37154850345815577,0.555 ± 0.372,0.21392381556300394,0.21392381556300394,0.17861691974188085,0.214 ± 0.179,0.2713375796178344,0.2713375796178344,0.19058321102063006,0.271 ± 0.191,noise_10,0.95,3.896504981201129,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,5,10420,0.05019193857965451
0.9023194269279677,0.9023194269279677,0.04940488863425235,0.902 ± 0.049,0.3972439104440372,0.3972439104440372,0.23452256977857097,0.397 ± 0.235,0.18192526721277547,0.18192526721277547,0.20354489667902834,0.182 ± 0.204,0.029233586198212036,0.029233586198212036,0.013386226739531815,0.029 ± 0.013,0.46871794871794875,0.46871794871794875,0.4291460566468818,0.469 ± 0.429,0.12042538575354048,0.12042538575354048,0.14007683177558056,0.120 ± 0.140,0.29808917197452234,0.29808917197452234,0.18511925536651405,0.298 ± 0.185,noise_10,0.95,3.896504981201129,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,5,10420,0.05019193857965451
0.9236167310974356,0.9236167310974356,0.03554398328071615,0.924 ± 0.036,0.3822976355059581,0.3822976355059581,0.24314358525462265,0.382 ± 0.243,0.2068442044846539,0.2068442044846539,0.21415604835098445,0.207 ± 0.214,0.030392298997449562,0.030392298997449562,0.016440976674093454,0.030 ± 0.016,0.4674929971988796,0.4674929971988796,0.3703720421300741,0.467 ± 0.370,0.1466659872572999,0.1466659872572999,0.16206230545970723,0.147 ± 0.162,0.2904458598726115,0.2904458598726115,0.17475924218743968,0.290 ± 0.175,noise_10,0.95,3.896504981201129,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,5,10420,0.05019193857965451
0.847913619501468,0.847913619501468,0.07102118538736105,0.848 ± 0.071,0.28128312704801345,0.28128312704801345,0.2036430307539272,0.281 ± 0.204,0.2989656488468321,0.2989656488468321,0.1534807689363253,0.299 ± 0.153,0.1308549446816417,0.1308549446816417,0.05248647352820466,0.131 ± 0.052,0.26803191632384177,0.26803191632384177,0.1416410608097035,0.268 ± 0.142,0.3431074168797954,0.3431074168797954,0.1752218364332199,0.343 ± 0.175,0.21153846153846154,0.21153846153846154,0.1329259061110751,0.212 ± 0.133,noise_10,0.95,3.896504981201129,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,5,10406,0.050163367288103014
