sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.95,10,Causal+Lagged Controls,RF,high_vpd,1957,0.07358201328564129
noise_10,0.95,10,Causal+Lagged Controls,RF,high_par,1961,0.05354411014788373
