sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.9,30,Causal+Lagged Controls,Logistic,high_vpd,2146,0.1011183597390494
missing_5,0.9,30,Causal+Lagged Controls,Logistic,high_par,2158,0.08155699721964782
