sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.9,10,DT-proxy base,Logistic,high_vpd,2145,0.0965034965034965
missing_5,0.9,10,DT-proxy base,Logistic,high_par,2159,0.07642427049559981
