Horizon (min),Model,Feature configuration,Internal feature_set,Folds,MAE,RMSE,R2,Runtime (s)
10,TimeMixer,AR-AirT-PAR,AR_AirT_PAR,5,0.292 ± 0.126,0.384 ± 0.169,0.932 ± 0.044,3.67 ± 2.37
10,RF,AR-AirT-PAR,AR_AirT_PAR,5,0.287 ± 0.088,0.388 ± 0.124,0.931 ± 0.030,0.28 ± 0.01
10,XGBoost,AR-LeafParents-window,AR_AirT_PAR_window,5,0.288 ± 0.103,0.393 ± 0.148,0.929 ± 0.039,0.10 ± 0.01
10,RF,AR-LeafParents-window,AR_AirT_PAR_window,5,0.305 ± 0.108,0.413 ± 0.155,0.922 ± 0.042,0.30 ± 0.01
10,XGBoost,AR-LeafParents,AR-LeafParents,5,0.313 ± 0.097,0.413 ± 0.125,0.923 ± 0.030,0.10 ± 0.01
10,XGBoost,AR-AllState,AR_AllState,5,0.302 ± 0.108,0.417 ± 0.146,0.920 ± 0.038,0.10 ± 0.00
10,RF,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.320 ± 0.119,0.435 ± 0.170,0.913 ± 0.049,0.30 ± 0.03
10,RF,AR-AllState,AR_AllState,5,0.328 ± 0.119,0.442 ± 0.163,0.909 ± 0.049,0.30 ± 0.01
10,RF,AR-LeafParents,AR-LeafParents,5,0.384 ± 0.115,0.500 ± 0.155,0.887 ± 0.050,0.25 ± 0.02
10,iTransformer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.596 ± 0.192,0.793 ± 0.241,0.718 ± 0.111,4.99 ± 2.36
10,iTransformer,AR-LeafParents,AR-LeafParents,5,0.685 ± 0.310,0.875 ± 0.330,0.646 ± 0.200,3.88 ± 2.73
10,iTransformer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.696 ± 0.249,0.887 ± 0.299,0.641 ± 0.167,5.06 ± 2.11
30,TimeMixer,AR-AirT,AR_AirT,5,0.282 ± 0.078,0.391 ± 0.116,0.925 ± 0.050,2.77 ± 2.01
30,PatchTST,AR-AirT,AR_AirT,5,0.298 ± 0.067,0.399 ± 0.092,0.925 ± 0.032,3.59 ± 1.52
30,PatchTST,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.319 ± 0.076,0.423 ± 0.092,0.918 ± 0.026,4.20 ± 1.79
30,Ridge,AR-AirT,AR_AirT,5,0.326 ± 0.044,0.424 ± 0.075,0.916 ± 0.034,0.00 ± 0.00
30,Ridge,AR-AllState,AR_AllState,5,0.336 ± 0.041,0.426 ± 0.060,0.917 ± 0.023,0.00 ± 0.00
30,PatchTST,AR-only,AR_only,5,0.308 ± 0.034,0.428 ± 0.061,0.915 ± 0.027,6.68 ± 3.10
30,TimeMixer,AR-only,AR_only,5,0.314 ± 0.040,0.436 ± 0.066,0.912 ± 0.030,4.26 ± 0.82
30,PatchTST,AR-AirT-PAR,AR_AirT_PAR,5,0.325 ± 0.103,0.439 ± 0.139,0.912 ± 0.036,4.28 ± 2.04
30,Ridge,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.366 ± 0.030,0.460 ± 0.038,0.904 ± 0.017,0.00 ± 0.00
30,Ridge,AR-AirT-PAR,AR_AirT_PAR,5,0.367 ± 0.033,0.460 ± 0.043,0.904 ± 0.017,0.00 ± 0.00
30,iTransformer,AR-AirT,AR_AirT,5,0.336 ± 0.094,0.460 ± 0.144,0.904 ± 0.040,3.89 ± 0.46
30,Ridge,AR-LeafParents,AR-LeafParents,5,0.367 ± 0.033,0.460 ± 0.042,0.904 ± 0.017,0.00 ± 0.00
30,Ridge,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.359 ± 0.039,0.462 ± 0.034,0.903 ± 0.017,0.00 ± 0.00
30,PatchTST,AR-LeafParents,AR-LeafParents,5,0.363 ± 0.114,0.468 ± 0.130,0.900 ± 0.038,2.46 ± 0.54
30,RF,AR-only,AR_only,5,0.344 ± 0.030,0.470 ± 0.042,0.900 ± 0.018,0.25 ± 0.02
30,Ridge,AR-LeafParents-window,AR_AirT_PAR_window,5,0.370 ± 0.043,0.470 ± 0.046,0.901 ± 0.006,0.00 ± 0.00
30,XGBoost,AR-only,AR_only,5,0.348 ± 0.026,0.472 ± 0.044,0.898 ± 0.022,0.09 ± 0.01
30,TimeMixer,AR-AirT-PAR,AR_AirT_PAR,5,0.374 ± 0.105,0.478 ± 0.128,0.897 ± 0.035,2.59 ± 0.98
30,Ridge,AR-PAR,AR_PAR,5,0.389 ± 0.038,0.492 ± 0.037,0.890 ± 0.015,0.00 ± 0.00
30,Ridge,AR-only,AR_only,5,0.376 ± 0.029,0.497 ± 0.050,0.888 ± 0.022,0.00 ± 0.00
30,TimeMixer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.382 ± 0.144,0.508 ± 0.204,0.882 ± 0.068,3.11 ± 2.08
30,TimeMixer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.395 ± 0.115,0.515 ± 0.152,0.881 ± 0.044,3.69 ± 0.83
30,ValidationSelected,Two-stage CBF-validation,TwoStage_CBF_AirT_PAR_ValidationSelected,5,0.411 ± 0.067,0.515 ± 0.083,0.881 ± 0.021,0.17 ± 0.15
30,TimeMixer,AR-LeafParents,AR-LeafParents,5,0.414 ± 0.156,0.528 ± 0.196,0.873 ± 0.064,2.82 ± 0.71
30,PatchTST,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.408 ± 0.112,0.535 ± 0.151,0.870 ± 0.047,4.04 ± 1.85
30,iTransformer,AR-AirT-PAR,AR_AirT_PAR,5,0.424 ± 0.147,0.546 ± 0.167,0.865 ± 0.056,4.89 ± 3.30
