Horizon (min),Model,Feature configuration,Internal feature_set,Folds,MAE,RMSE,R2,Runtime (s)
120,RF,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,1.033 ± 0.314,1.357 ± 0.501,0.160 ± 0.437,0.31 ± 0.03
120,XGBoost,AR-AllState,AR_AllState,5,1.045 ± 0.366,1.390 ± 0.559,0.118 ± 0.510,0.09 ± 0.01
120,RF,AR-LeafParents-window,AR_AirT_PAR_window,5,1.059 ± 0.330,1.398 ± 0.473,0.116 ± 0.409,0.28 ± 0.02
120,XGBoost,AR-LeafParents-window,AR_AirT_PAR_window,5,1.076 ± 0.386,1.418 ± 0.566,0.075 ± 0.537,0.10 ± 0.00
120,RF,AR-AllState,AR_AllState,5,1.107 ± 0.357,1.424 ± 0.470,0.082 ± 0.419,0.29 ± 0.02
120,RF,AR-AirT-PAR,AR_AirT_PAR,5,1.099 ± 0.340,1.437 ± 0.475,0.069 ± 0.414,0.27 ± 0.02
120,XGBoost,AR-AirT-PAR,AR_AirT_PAR,5,1.155 ± 0.357,1.488 ± 0.522,-0.000 ± 0.484,0.09 ± 0.01
120,RF,AR-LeafParents,AR-LeafParents,5,1.172 ± 0.318,1.495 ± 0.467,-0.007 ± 0.419,0.24 ± 0.02
120,XGBoost,AR-PAR,AR_PAR,5,1.189 ± 0.414,1.517 ± 0.574,-0.055 ± 0.575,0.09 ± 0.01
120,RF,AR-PAR,AR_PAR,5,1.180 ± 0.430,1.529 ± 0.587,-0.074 ± 0.600,0.28 ± 0.01
120,XGBoost,AR-LeafParents,AR-LeafParents,5,1.232 ± 0.387,1.534 ± 0.517,-0.073 ± 0.519,0.09 ± 0.01
