horizon_steps,horizon_minutes,feature_set,model,n_folds,n_test_mean,p_mean,runtime_s_mean,runtime_s_std,test_MAE_mean,test_MAE_std,test_RMSE_mean,test_RMSE_std,test_R2_mean,test_R2_std,feature_display_name,main_manuscript_configuration
1,10,AR_AirT,Ridge,5,1008.0,4.0,0.000782918930053711,0.0004393079349896787,0.1909867911785597,0.024358822381558724,0.25802618751696194,0.04242606232965733,0.9689076599340204,0.011743507256742761,AR-AirT,True
3,30,AR_AirT,TimeMixer,5,1008.0,4.0,2.7739867210388183,2.005218048232414,0.28221394891875845,0.0777467164363363,0.3906893170929343,0.116366374208134,0.9247210252302107,0.050184808372480766,AR-AirT,True
6,60,AR_AirT_PAR,PatchTST,5,1008.0,5.0,3.699955368041992,1.6741850994487184,0.43104869345003954,0.11096553767022399,0.5701513236463339,0.15236651846355304,0.8454471639774646,0.07637342286433735,AR-AirT-PAR,False
12,120,TwoStage_CBF_AirT_PAR,PatchTST,5,1008.0,5.0,3.3264862537384032,0.9447118228924762,0.7623683331403781,0.0937410267359647,0.9525391747171892,0.11468811872651183,0.5886556895552382,0.08185124879705266,Two-stage CBF,True
