horizon_steps,horizon_minutes,feature_set,model,n_folds,n_test_mean,p_mean,runtime_s_mean,runtime_s_std,test_MAE_mean,test_MAE_std,test_RMSE_mean,test_RMSE_std,test_R2_mean,test_R2_std,feature_display_name,main_manuscript_configuration
1,10,AR_AirT,Ridge,5,1008.0,4.0,0.000782918930053711,0.0004393079349896787,0.1909867911785597,0.024358822381558724,0.25802618751696194,0.04242606232965733,0.9689076599340204,0.011743507256742761,AR-AirT,True
1,10,AR_only,PatchTST,5,1008.0,3.0,5.96229100227356,2.052519277159569,0.18411222569832547,0.019097649953912384,0.258103143876744,0.03365822017860542,0.9693492205225164,0.008853630703947865,AR-only,True
1,10,AR_only,TimeMixer,5,1008.0,3.0,4.171492576599121,0.5735126393178511,0.18601666355421392,0.023367404769584973,0.2599864636058786,0.03708634951398437,0.9688158727306841,0.009777226305563342,AR-only,True
1,10,AR_AllState,Ridge,5,1008.0,7.0,0.0003995418548583984,0.0005470952748774788,0.20318943321244887,0.024864475851701942,0.2682383024251086,0.03419074759683769,0.9672196275698068,0.007723879886238643,AR-AllState,False
1,10,AR_only,RF,5,1008.0,3.0,0.2539247512817383,0.007370372973028743,0.20027917532742284,0.01589838954277769,0.2772070977586414,0.026176350653039058,0.9648069119538334,0.008072743328577908,AR-only,True
1,10,AR-LeafParents,Ridge,5,1008.0,3.0,0.0004002094268798828,0.0005480093335537593,0.21345708059024307,0.020041299410197527,0.27839869327229577,0.026430085851800216,0.9648241407480314,0.0061465400331790964,AR-LeafParents,True
1,10,AR_AirT_PAR,Ridge,5,1008.0,5.0,0.0006001472473144531,0.0005478569839442583,0.21410383903247862,0.01982302577398877,0.2797684022965095,0.027247299996351834,0.9644467159078223,0.006553758783487915,AR-AirT-PAR,False
1,10,AR_only,XGBoost,5,1008.0,3.0,0.12813501358032225,0.013334348156445056,0.2038351406756742,0.01353143283052592,0.28230050497642895,0.02593240466612734,0.963390540478056,0.008795964405836462,AR-only,True
1,10,TwoStage_CBF_AirT_PAR,Ridge,5,1008.0,5.0,0.0021996498107910156,0.0013015885481798628,0.21595885541380838,0.019245419160701785,0.28256052753920435,0.024558349470443105,0.9638193400222559,0.0055433604331111275,Two-stage CBF,True
1,10,AR_AirT_PAR,PatchTST,5,1008.0,5.0,4.037541055679322,1.3157840297801082,0.20582471543771247,0.043291597956329704,0.28807384613787274,0.07291471254393413,0.9625522723306824,0.011683433508206937,AR-AirT-PAR,False
1,10,AR_PAR,RF,5,1008.0,4.0,0.27159667015075684,0.018120976921174328,0.21310104796322463,0.026828249707500716,0.2896607089870903,0.03341374393815899,0.9621839779293435,0.0055335613130310084,AR-PAR,False
1,10,AR_AirT_PAR_window,Ridge,5,1008.0,9.0,0.0005976200103759765,0.0005455648945847488,0.2221651543545855,0.030955869727239103,0.2943968769593345,0.034853272924136834,0.9612102498345353,0.0018653791529358729,AR-LeafParents-window,False
1,10,AR_only,Ridge,5,1008.0,3.0,0.005152273178100586,0.009854079640372175,0.21682169592053296,0.01803784638781249,0.29466121796701367,0.033342192455365426,0.9602123434860299,0.010064090055237118,AR-only,True
1,10,AR_PAR,Ridge,5,1008.0,4.0,0.00040073394775390624,0.0005487296545777538,0.22517237108518046,0.018911473446406438,0.29502237114856134,0.022292581818583162,0.9604439637856261,0.006472302733717137,AR-PAR,False
1,10,TwoStage_CBF_AirT_PAR_Residual,Ridge,5,1008.0,11.0,0.0019985198974609374,0.0006999176184101579,0.22237874949030684,0.03076633170235577,0.2972417639379307,0.030718923472962827,0.9602212195125859,0.004348542414543392,Two-stage CBF-residual,False
1,10,TwoStage_CBF_AirT_PAR,PatchTST,5,1008.0,5.0,4.077694368362427,1.785073563789148,0.2168702190389078,0.07152964723984598,0.2998693407674499,0.10381593788665536,0.9594976883196411,0.01873011152966968,Two-stage CBF,True
1,10,AR_AirT,PatchTST,5,1008.0,4.0,4.1595841407775875,2.381208353467756,0.21850577055209525,0.09847115861252131,0.3020405519013228,0.12724568129593936,0.958305899004632,0.025489163644495397,AR-AirT,True
