split,bridge_variable,bridge_variable_full,horizon_steps,horizon_minutes,stageA_model,stageA_runtime_s,MAE,RMSE,R2,fold,final_model,feature_set,stageB_model_selected
test,Air_T,compartment/air_temperature,1,10,Ridge,0.0010037422180175781,0.29560394639381654,0.3863380185488484,0.9371485301388609,fold_1,iTransformer,TwoStage_CBF_AirT_PAR,
train,PAR,compartment/par,1,10,Ridge,0.0,37.60580415230089,74.44612708291511,0.7028517773941245,fold_1,iTransformer,TwoStage_CBF_AirT_PAR,
val,PAR,compartment/par,1,10,Ridge,0.0,15.118308130094666,25.37796740740571,0.9088907697613913,fold_1,iTransformer,TwoStage_CBF_AirT_PAR,
test,PAR,compartment/par,1,10,Ridge,0.0,15.337720013102375,25.8410725694965,0.9008863415049139,fold_1,iTransformer,TwoStage_CBF_AirT_PAR,
train,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3860891402600663,0.5404756879116898,0.941334451587442,fold_5,TimeMixer,TwoStage_CBF_AirT_PAR,
val,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3740025443327135,0.5176328556445511,0.9206881424050383,fold_5,TimeMixer,TwoStage_CBF_AirT_PAR,
test,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3074566175712704,0.4331213278519793,0.9180050343500862,fold_5,TimeMixer,TwoStage_CBF_AirT_PAR,
train,PAR,compartment/par,1,10,Ridge,0.0,48.97082179349063,90.09112466678765,0.6754562381099017,fold_5,TimeMixer,TwoStage_CBF_AirT_PAR,
val,PAR,compartment/par,1,10,Ridge,0.0,29.73802928728179,52.85192487537368,0.7227654201398002,fold_5,TimeMixer,TwoStage_CBF_AirT_PAR,
test,PAR,compartment/par,1,10,Ridge,0.0,30.107125991746496,56.746705004764074,0.6450458376969304,fold_5,TimeMixer,TwoStage_CBF_AirT_PAR,
