feature_set,feature_display_name,model,horizon_steps,horizon_minutes,stageA_AirT_MAE_mean,stageA_AirT_MAE_std,stageA_PAR_MAE_mean,stageA_PAR_MAE_std,stageB_LeafT_MAE_mean,stageB_LeafT_MAE_std,amplification_ratio_mean,amplification_ratio_std
TwoStage_CBF_AirT_PAR,Two-stage CBF,PatchTST,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.2168702190389078,0.07152964723984598,1.0,0.3298269700507525
TwoStage_CBF_AirT_PAR,Two-stage CBF,PatchTST,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.31919029922946685,0.07649415123819438,1.471803277757571,0.3527185594093529
TwoStage_CBF_AirT_PAR,Two-stage CBF,PatchTST,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.4455001191170217,0.10339233188944323,2.0542245085162953,0.4767474868040503
TwoStage_CBF_AirT_PAR,Two-stage CBF,PatchTST,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.7623683331403781,0.0937410267359647,3.51532052911149,0.43224481052028174
TwoStage_CBF_AirT_PAR,Two-stage CBF,RF,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.27639485567898,0.08197976913079197,1.0,0.2966038167729421
TwoStage_CBF_AirT_PAR,Two-stage CBF,RF,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.44816391977164016,0.1265115957864815,1.6214625944129804,0.4577205153681258
TwoStage_CBF_AirT_PAR,Two-stage CBF,RF,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.6689604316624643,0.1762989210978906,2.420307100214019,0.6378516729799552
TwoStage_CBF_AirT_PAR,Two-stage CBF,RF,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.992527519778994,0.22341144385193146,3.590976819524345,0.8083053619182178
TwoStage_CBF_AirT_PAR,Two-stage CBF,Ridge,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.21595885541380838,0.019245419160701785,1.0,0.08911613799686423
TwoStage_CBF_AirT_PAR,Two-stage CBF,Ridge,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.3657162537369489,0.030083692575191397,1.6934533804422311,0.13930288951359135
TwoStage_CBF_AirT_PAR,Two-stage CBF,Ridge,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.5632115852659625,0.04700657474267735,2.607957817644327,0.21766449286187373
TwoStage_CBF_AirT_PAR,Two-stage CBF,Ridge,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.888385511007453,0.09730795460468812,4.1136794752184525,0.45058561927563473
TwoStage_CBF_AirT_PAR,Two-stage CBF,TimeMixer,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.25715963827869875,0.07581926935050483,0.9999999999999998,0.29483347331642723
TwoStage_CBF_AirT_PAR,Two-stage CBF,TimeMixer,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.3823120310178599,0.1438157404539016,1.4866719893404354,0.5592469386585471
TwoStage_CBF_AirT_PAR,Two-stage CBF,TimeMixer,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.5098599646460892,0.11530359094253315,1.982659363105514,0.4483735928169723
TwoStage_CBF_AirT_PAR,Two-stage CBF,TimeMixer,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.8823851059252622,0.18463173388862184,3.431273709325141,0.7179654440504607
TwoStage_CBF_AirT_PAR,Two-stage CBF,XGBoost,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.27239860697145807,0.08642483363933494,0.9999999999999998,0.3172734053239506
TwoStage_CBF_AirT_PAR,Two-stage CBF,XGBoost,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.4549914073691796,0.1375486623094204,1.6703147362895785,0.5049536186645504
TwoStage_CBF_AirT_PAR,Two-stage CBF,XGBoost,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.6722853002836554,0.20356232133103516,2.4680203315213625,0.7472957501297516
TwoStage_CBF_AirT_PAR,Two-stage CBF,XGBoost,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.9593942543716028,0.23750630350762908,3.522023350406222,0.8719071883231581
TwoStage_CBF_AirT_PAR,Two-stage CBF,iTransformer,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.2894323864430076,0.06737237311487722,1.0,0.2327741340312777
TwoStage_CBF_AirT_PAR,Two-stage CBF,iTransformer,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.4510646858287416,0.16742680082465342,1.5584457958285918,0.5784660206214398
TwoStage_CBF_AirT_PAR,Two-stage CBF,iTransformer,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.5479339685339145,0.09912181273449952,1.8931328842213333,0.3424696660683399
TwoStage_CBF_AirT_PAR,Two-stage CBF,iTransformer,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.8387935565615455,0.2277054163809966,2.8980639204545726,0.7867309501172022
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,PatchTST,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.2567101414746077,0.05600194368300034,1.0,0.21815243979575977
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,PatchTST,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.4082601374116524,0.11245175555490323,1.5903545339755698,0.4380495250750595
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,PatchTST,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.5630617401385434,0.21836693038904842,2.1933755203599468,0.8506361655004893
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,PatchTST,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.8040089661885821,0.2223003680901849,3.1319719648400026,0.8659586520938966
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,RF,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.3202250094627221,0.11928540377730848,0.9999999999999998,0.37250495823998
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,RF,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.5193108679869531,0.22006996378834115,1.6217061523653633,0.6872354041227995
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,RF,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.798935370064977,0.3678163929229413,2.4949187179522347,1.1486185714853083
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,RF,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,1.033288144871403,0.31430011246935685,3.226756544109618,0.9814977068677233
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,Ridge,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.22237874949030684,0.03076633170235577,1.0000000000000002,0.13835104196274312
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,Ridge,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.3593914158114972,0.03867089616561052,1.6161230182075585,0.17389654476538083
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,Ridge,6,60,0.6826930362640043,0.036888264265373095,42.284285561731,8.719734264332438,0.5319595613242878,0.05288371602759618,2.392133072712846,0.23780921580324507
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,Ridge,12,120,1.0138274606144648,0.07475309974669102,56.49609767194888,9.407465813376554,0.8373070805249968,0.11000996028458175,3.7652297373022767,0.4946963706591803
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,TimeMixer,1,10,0.29553911787991394,0.032438436234114805,20.54722516998166,6.187510531361375,0.262786915087826,0.05129912924150771,1.0,0.19521188573777748
TwoStage_CBF_AirT_PAR_Residual,Two-stage CBF-residual,TimeMixer,3,30,0.4757572704324062,0.040652385986503836,30.36799861679315,7.801747043936639,0.43193389545132144,0.1516553219188012,1.6436659158123028,0.5771037795702898
