sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.95,60,DT-proxy base,RF,high_vpd,1951,0.09174782162993336
noise_5,0.95,60,DT-proxy base,RF,high_par,1953,0.0701484895033282
