sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.95,10,Causal+Lagged Controls,RF,high_vpd,1957,0.07715891670924885
noise_5,0.95,10,Causal+Lagged Controls,RF,high_par,1961,0.05507394186639469
