sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.95,30,Causal+Lagged Controls,RF,high_vpd,1950,0.08051282051282051
noise_5,0.95,30,Causal+Lagged Controls,RF,high_par,1955,0.06086956521739131
