sensor_scenario,roc_auc_mean,pr_auc_mean,f1_mean,top10_alert_precision_mean,deltaT_threshold,positive_rate,event_rate_percent,setting_label
clean,0.819675055192073,0.3981758898741683,0.3247646050512584,0.3731336309361787,3.3800000000000026,0.10079925002104183,10.079925002104183,No perturbation
noise_5,0.8097150073162855,0.37663326492417554,0.31563375539100536,0.35925835193351113,3.408375338190723,0.1003181081055511,10.03181081055511,5% additive noise
noise_10,0.7835456929771739,0.33090293116767655,0.282806509260537,0.32272737583247135,3.4677307327360563,0.10002915869025658,10.002915869025658,10% additive noise
missing_5,0.845600608222071,0.42697172823734875,0.3642115542180162,0.3673107944616212,3.604023952095812,0.10001312832486718,10.001312832486718,5% missing + interpolation
missing_10,0.8388210250769219,0.42328519793696906,0.36246176018749776,0.3593182898214975,3.5999999999999974,0.10010055238808818,10.010055238808818,10% missing + interpolation
