sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.6433277689622467,0.041858138345342556,0.7101150096319495
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.6396399993343342,0.02517798328077213,0.6652121818605332
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.4111171066761017,0.03185874955741484,0.4068407118320465
missing_5,0.85,3.289999999999999,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.6069391517178986,0.02964149335981266,0.649314494088126
missing_5,0.85,3.289999999999999,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.551228977174592,0.04309278321061445,0.5756126110440843
missing_5,0.85,3.289999999999999,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.4364053964614868,0.010092219161015444,0.44253596663475037
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.631686413968421,0.03348885519970414,0.6792921678978198
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.5938505932124277,0.020794302422141014,0.6151995260708787
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.45776005983352663,0.013218028849309173,0.46862056851387024
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.6219709743633823,0.040904894739219926,0.6399215942120909
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.5657064482261768,0.030173552043847744,0.5966303840655561
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.36252349615097046,0.02486466845042535,0.37433066964149475
missing_5,0.85,3.289999999999999,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.6006387768640897,0.05507015317044767,0.673261967505434
missing_5,0.85,3.289999999999999,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.5536131489661135,0.018241839789009975,0.5596648515648422
missing_5,0.85,3.289999999999999,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.3986824512481689,0.02323870836709531,0.3981098532676697
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.6525354175058645,0.01974444689711434,0.6695864046952431
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.5856915728334149,0.028073674787257898,0.6000253361147168
missing_5,0.85,3.289999999999999,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.43538538217544553,0.023215165262387438,0.42533454298973083
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.5915113067947602,0.016702005124966026,0.6133353629229195
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.5663050375716651,0.021650935273557506,0.5594186525348525
missing_5,0.85,3.289999999999999,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.3415311336517334,0.03379741336709855,0.31672805547714233
