sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.85,60,Causal+Lagged Controls,RF,high_vpd,2145,0.18461538461538463
missing_5,0.85,60,Causal+Lagged Controls,RF,high_par,2155,0.14060324825986079
