sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_5,0.85,30,Causal+Lagged Controls,XGBoost,high_vpd,2146,0.16262814538676607
missing_5,0.85,30,Causal+Lagged Controls,XGBoost,high_par,2158,0.1190917516218721
