sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.9,30,Causal-parents,Logistic,high_vpd,1950,0.13897435897435897
clean,0.9,30,Causal-parents,Logistic,high_par,1955,0.09820971867007673
