sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.9,120,DT-proxy base,XGBoost,high_vpd,1943,0.20123520329387545
clean,0.9,120,DT-proxy base,XGBoost,high_par,1942,0.15190525231719876
