sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
clean,0.9,60,DT-proxy base,Logistic,high_vpd,1951,0.1619682214249103
clean,0.9,60,DT-proxy base,Logistic,high_par,1953,0.12083973374295955
