time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-09-06 11:30:00,,clean,,,,
2024-09-06 11:40:00,,clean,,,,
2024-09-06 11:50:00,,clean,,,,
2024-09-06 12:00:00,,clean,,,,
2024-09-06 12:10:00,,clean,,,,
2024-09-06 12:20:00,,clean,,,,
2024-09-06 12:30:00,,clean,,,,
2024-09-06 12:40:00,,clean,,,,
2024-09-06 12:50:00,,clean,,,,
2024-09-06 13:00:00,,clean,,,,
2024-09-06 13:10:00,,clean,,,,
2024-09-06 13:20:00,,clean,,,,
2024-09-06 13:30:00,,clean,,,,
2024-09-06 13:40:00,,clean,,,,
2024-09-06 13:50:00,,clean,,,,
2024-09-06 14:00:00,,clean,,,,
2024-09-06 14:10:00,,clean,,,,
2024-09-06 14:20:00,,clean,,,,
2024-09-06 14:30:00,,clean,,,,
2024-09-06 14:40:00,,clean,,,,
2024-09-06 14:50:00,,clean,,,,
2024-09-06 15:00:00,,clean,,,,
2024-09-06 15:10:00,,clean,,,,
2024-09-06 15:20:00,,clean,,,,
2024-09-06 15:30:00,,clean,,,,
2024-09-06 15:40:00,,clean,,,,
2024-09-06 15:50:00,,clean,,,,
2024-09-06 16:00:00,,clean,,,,
2024-09-06 16:10:00,,clean,,,,
2024-09-06 16:20:00,,clean,,,,
2024-09-06 16:30:00,,clean,,,,
2024-09-06 16:40:00,,clean,,,,
2024-09-06 16:50:00,,clean,,,,
2024-09-06 17:00:00,,clean,,,,
2024-09-06 17:10:00,,clean,,,,
2024-09-06 17:20:00,,clean,,,,
2024-09-06 17:30:00,,clean,,,,
2024-09-06 17:40:00,,clean,,,,
2024-09-06 17:50:00,,clean,,,,
2024-09-06 18:00:00,,clean,,,,
2024-09-06 18:10:00,,clean,,,,
2024-09-06 18:20:00,,clean,,,,
2024-09-06 18:30:00,,clean,,,,
2024-09-06 18:40:00,,clean,,,,
2024-09-06 18:50:00,,clean,,,,
2024-09-06 19:00:00,,clean,,,,
2024-09-06 19:10:00,,clean,,,,
2024-09-06 19:20:00,,clean,,,,
2024-09-06 19:30:00,,clean,,,,
2024-09-06 19:40:00,,clean,,,,
2024-09-06 19:50:00,,clean,,,,
2024-09-06 20:00:00,,clean,,,,
2024-09-06 20:10:00,,clean,,,,
2024-09-06 20:20:00,,clean,,,,
2024-09-06 20:30:00,,clean,,,,
2024-09-06 20:40:00,,clean,,,,
2024-09-06 20:50:00,,clean,,,,
2024-09-06 21:00:00,,clean,,,,
2024-09-06 21:10:00,,clean,,,,
2024-09-06 21:20:00,,clean,,,,
2024-09-06 21:30:00,,clean,,,,
2024-09-06 21:40:00,,clean,,,,
2024-09-06 21:50:00,,clean,,,,
2024-09-06 22:00:00,,clean,,,,
2024-09-06 22:10:00,,clean,,,,
2024-09-06 22:20:00,,clean,,,,
2024-09-06 22:30:00,,clean,,,,
2024-09-06 22:40:00,,clean,,,,
2024-09-06 22:50:00,,clean,,,,
2024-09-06 23:00:00,,clean,,,,
2024-09-06 23:10:00,,clean,,,,
2024-09-06 23:20:00,,clean,,,,
2024-09-06 23:30:00,,clean,,,,
2024-09-06 23:40:00,,clean,,,,
2024-09-06 23:50:00,,clean,,,,
2024-09-07 00:00:00,,clean,,,,
2024-09-07 00:10:00,,clean,,,,
2024-09-07 00:20:00,,clean,,,,
2024-09-07 00:30:00,,clean,,,,
2024-09-07 00:40:00,,clean,,,,
2024-09-07 00:50:00,,clean,,,,
2024-09-07 01:00:00,,clean,,,,
2024-09-07 01:10:00,,clean,,,,
2024-09-07 01:20:00,,clean,,,,0.0
2024-09-07 01:30:00,,clean,,,,0.0
2024-09-07 01:40:00,,clean,,,,0.0
2024-09-07 01:50:00,,clean,,,,0.0
2024-09-07 02:00:00,,clean,,,,0.0
2024-09-07 02:10:00,,clean,,,,0.0
2024-09-07 02:20:00,,clean,,,0.0,0.0
2024-09-07 02:30:00,,clean,,,0.0,0.0
2024-09-07 02:40:00,,clean,,,0.0,0.0
2024-09-07 02:50:00,,clean,,0.0,0.0,0.0
2024-09-07 03:00:00,,clean,,0.0,0.0,0.0
2024-09-07 03:10:00,,clean,0.0,0.0,0.0,0.0
2024-09-07 03:20:00,3.1099999999999994,clean,0.0,0.0,0.0,0.0
2024-09-07 03:30:00,2.8200000000000003,clean,0.0,0.0,0.0,0.0
2024-09-07 03:40:00,2.7699999999999996,clean,0.0,0.0,0.0,0.0
2024-09-07 03:50:00,2.8599999999999994,clean,0.0,0.0,0.0,0.0
2024-09-07 04:00:00,2.780000000000001,clean,0.0,0.0,0.0,0.0
2024-09-07 04:10:00,2.900000000000002,clean,0.0,0.0,0.0,0.0
2024-09-07 04:20:00,2.7900000000000027,clean,0.0,0.0,0.0,0.0
2024-09-07 04:30:00,2.8900000000000006,clean,0.0,0.0,0.0,0.0
2024-09-07 04:40:00,2.7200000000000024,clean,0.0,0.0,0.0,0.0
2024-09-07 04:50:00,2.7399999999999984,clean,0.0,0.0,0.0,0.0
2024-09-07 05:00:00,2.8599999999999994,clean,0.0,0.0,0.0,0.0
2024-09-07 05:10:00,2.8999999999999986,clean,0.0,0.0,0.0,0.0
2024-09-07 05:20:00,3.0,clean,0.0,0.0,0.0,0.0
2024-09-07 05:30:00,3.0599999999999987,clean,0.0,0.0,0.0,0.0
2024-09-07 05:40:00,2.9299999999999997,clean,0.0,0.0,0.0,0.0
2024-09-07 05:50:00,2.8099999999999987,clean,0.0,0.0,0.0,0.0
2024-09-07 06:00:00,2.3100000000000023,clean,0.0,0.0,0.0,1.0
2024-09-07 06:10:00,2.3000000000000007,clean,0.0,0.0,0.0,0.0
2024-09-07 06:20:00,2.280000000000001,clean,0.0,0.0,0.0,0.0
2024-09-07 06:30:00,2.6799999999999997,clean,0.0,0.0,0.0,0.0
2024-09-07 06:40:00,2.5599999999999987,clean,0.0,0.0,0.0,0.0
2024-09-07 06:50:00,2.3999999999999986,clean,0.0,0.0,0.0,0.0
2024-09-07 07:00:00,2.860000000000003,clean,0.0,0.0,1.0,0.0
2024-09-07 07:10:00,2.8999999999999986,clean,0.0,0.0,0.0,1.0
