sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_10,0.95,10,Causal-parents,RF,high_vpd,2145,0.04895104895104895
missing_10,0.95,10,Causal-parents,RF,high_par,2159,0.03520148216767022
