time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-09-02 22:00:00,3.6099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-02 22:10:00,3.6099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-02 22:20:00,3.509999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-02 22:30:00,3.41,missing_10,0.0,0.0,0.0,0.0
2024-09-02 22:40:00,3.3099999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-02 22:50:00,3.0599999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-02 23:00:00,2.884999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-02 23:10:00,2.710000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-02 23:20:00,2.5599999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-02 23:30:00,2.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-02 23:40:00,2.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-02 23:50:00,2.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 00:00:00,2.41,missing_10,0.0,0.0,0.0,0.0
2024-09-03 00:10:00,2.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 00:20:00,2.585000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 00:30:00,2.710000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 00:40:00,2.8599999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 00:50:00,2.9849999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 01:00:00,3.1099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 01:10:00,3.1099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 01:20:00,3.210000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 01:30:00,3.259999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-03 01:40:00,3.41,missing_10,0.0,0.0,0.0,0.0
2024-09-03 01:50:00,3.6099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 02:00:00,3.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 02:10:00,3.509999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-03 02:20:00,3.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 02:30:00,3.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 02:40:00,3.41,missing_10,0.0,0.0,0.0,0.0
2024-09-03 02:50:00,3.509999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-03 03:00:00,3.41,missing_10,0.0,0.0,0.0,0.0
2024-09-03 03:10:00,3.41,missing_10,0.0,0.0,0.0,0.0
2024-09-03 03:20:00,3.460000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 03:30:00,3.41,missing_10,0.0,0.0,0.0,0.0
2024-09-03 03:40:00,3.3099999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 03:50:00,3.3099999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 04:00:00,3.66,missing_10,0.0,0.0,0.0,0.0
2024-09-03 04:10:00,3.8099999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 04:20:00,3.91,missing_10,0.0,0.0,0.0,0.0
2024-09-03 04:30:00,3.91,missing_10,0.0,0.0,0.0,0.0
2024-09-03 04:40:00,4.009999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-03 04:50:00,4.109999999999999,missing_10,0.0,0.0,0.0,0.0
2024-09-03 05:00:00,4.109999999999999,missing_10,0.0,0.0,0.0,0.0
2024-09-03 05:10:00,3.8599999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 05:20:00,3.6099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 05:30:00,3.3599999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 05:40:00,3.0599999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 05:50:00,2.8099999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 06:00:00,2.91,missing_10,0.0,0.0,0.0,0.0
2024-09-03 06:10:00,2.960000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 06:20:00,2.4099999999999966,missing_10,0.0,0.0,0.0,0.0
2024-09-03 06:30:00,2.259999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-03 06:40:00,2.4099999999999966,missing_10,0.0,0.0,0.0,0.0
2024-09-03 06:50:00,2.1099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 07:00:00,1.9100000000000001,missing_10,0.0,0.0,0.0,0.0
2024-09-03 07:10:00,2.1099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 07:20:00,1.9099999999999966,missing_10,0.0,0.0,0.0,0.0
2024-09-03 07:30:00,1.7349999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 07:40:00,1.5599999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 07:50:00,1.1599999999999966,missing_10,0.0,0.0,0.0,0.0
2024-09-03 08:00:00,0.6099999999999994,missing_10,0.0,0.0,0.0,0.0
2024-09-03 08:10:00,0.259999999999998,missing_10,0.0,0.0,0.0,0.0
2024-09-03 08:20:00,0.16000000000000014,missing_10,0.0,0.0,0.0,0.0
2024-09-03 08:30:00,0.3099999999999987,missing_10,0.0,0.0,0.0,0.0
2024-09-03 08:40:00,0.05999999999999872,missing_10,0.0,0.0,0.0,0.0
2024-09-03 08:50:00,-0.28999999999999915,missing_10,0.0,0.0,0.0,0.0
2024-09-03 09:00:00,-0.08999999999999986,missing_10,0.0,0.0,0.0,0.0
2024-09-03 09:10:00,-0.03999999999999915,missing_10,0.0,0.0,0.0,0.0
2024-09-03 09:20:00,-0.09000000000000341,missing_10,0.0,0.0,0.0,0.0
2024-09-03 09:30:00,0.00999999999999801,missing_10,0.0,0.0,0.0,0.0
