sensor_scenario,event_q,deltaT_threshold,model,algorithm,horizon_min,roc_auc_mean_std,pr_auc_mean_std,f1_mean_std,top10_alert_precision_mean_std,positive_rate,n_folds,n_samples
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,RF,10,0.897 ± 0.057,0.559 ± 0.200,0.438 ± 0.194,0.511 ± 0.235,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,XGBoost,10,0.907 ± 0.054,0.551 ± 0.219,0.456 ± 0.219,0.507 ± 0.248,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,DT-proxy base,Logistic,30,0.842 ± 0.059,0.422 ± 0.164,0.433 ± 0.097,0.400 ± 0.168,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,DT-proxy base,RF,30,0.827 ± 0.052,0.399 ± 0.178,0.411 ± 0.119,0.395 ± 0.173,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,DT-proxy base,XGBoost,30,0.836 ± 0.061,0.405 ± 0.174,0.417 ± 0.111,0.387 ± 0.166,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,Causal-parents,Logistic,30,0.852 ± 0.055,0.423 ± 0.239,0.321 ± 0.234,0.394 ± 0.244,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,Causal-parents,RF,30,0.841 ± 0.045,0.437 ± 0.203,0.336 ± 0.139,0.409 ± 0.202,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,Causal-parents,XGBoost,30,0.838 ± 0.065,0.446 ± 0.216,0.359 ± 0.138,0.409 ± 0.208,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,Logistic,30,0.830 ± 0.086,0.419 ± 0.243,0.366 ± 0.229,0.394 ± 0.228,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,RF,30,0.826 ± 0.060,0.436 ± 0.207,0.263 ± 0.171,0.424 ± 0.207,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,XGBoost,30,0.832 ± 0.085,0.402 ± 0.247,0.320 ± 0.193,0.410 ± 0.224,0.10013453776667307,5,10406
noise_5,0.9,3.408375338190723,DT-proxy base,Logistic,60,0.755 ± 0.054,0.288 ± 0.121,0.309 ± 0.125,0.300 ± 0.141,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,DT-proxy base,RF,60,0.719 ± 0.074,0.269 ± 0.128,0.271 ± 0.122,0.278 ± 0.138,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,DT-proxy base,XGBoost,60,0.743 ± 0.071,0.264 ± 0.117,0.289 ± 0.128,0.291 ± 0.156,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,Causal-parents,Logistic,60,0.781 ± 0.062,0.306 ± 0.202,0.251 ± 0.203,0.297 ± 0.232,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,Causal-parents,RF,60,0.740 ± 0.070,0.254 ± 0.148,0.203 ± 0.124,0.271 ± 0.146,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,Causal-parents,XGBoost,60,0.744 ± 0.086,0.272 ± 0.170,0.209 ± 0.136,0.278 ± 0.164,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,Logistic,60,0.756 ± 0.104,0.303 ± 0.204,0.264 ± 0.180,0.295 ± 0.193,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,RF,60,0.758 ± 0.073,0.300 ± 0.207,0.128 ± 0.165,0.308 ± 0.191,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,XGBoost,60,0.741 ± 0.123,0.273 ± 0.201,0.162 ± 0.180,0.265 ± 0.200,0.10032736375890622,5,10386
noise_5,0.9,3.408375338190723,DT-proxy base,Logistic,120,0.703 ± 0.057,0.176 ± 0.079,0.231 ± 0.099,0.206 ± 0.140,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,DT-proxy base,RF,120,0.673 ± 0.043,0.165 ± 0.102,0.170 ± 0.102,0.190 ± 0.138,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,DT-proxy base,XGBoost,120,0.682 ± 0.040,0.177 ± 0.109,0.196 ± 0.110,0.203 ± 0.152,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,Causal-parents,Logistic,120,0.808 ± 0.065,0.272 ± 0.156,0.182 ± 0.157,0.283 ± 0.203,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,Causal-parents,RF,120,0.768 ± 0.039,0.223 ± 0.120,0.130 ± 0.086,0.232 ± 0.126,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,Causal-parents,XGBoost,120,0.789 ± 0.053,0.253 ± 0.146,0.133 ± 0.105,0.262 ± 0.166,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,Logistic,120,0.749 ± 0.113,0.259 ± 0.184,0.194 ± 0.160,0.260 ± 0.213,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,RF,120,0.779 ± 0.069,0.254 ± 0.163,0.085 ± 0.122,0.245 ± 0.161,0.100714561606798,5,10356
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,XGBoost,120,0.756 ± 0.100,0.245 ± 0.180,0.128 ± 0.148,0.242 ± 0.188,0.100714561606798,5,10356
noise_5,0.95,3.8481142849745926,DT-proxy base,Logistic,10,0.944 ± 0.046,0.536 ± 0.181,0.535 ± 0.122,0.312 ± 0.194,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,DT-proxy base,RF,10,0.941 ± 0.019,0.522 ± 0.165,0.516 ± 0.161,0.310 ± 0.200,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,DT-proxy base,XGBoost,10,0.945 ± 0.026,0.504 ± 0.193,0.468 ± 0.188,0.311 ± 0.199,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,Causal-parents,Logistic,10,0.917 ± 0.087,0.535 ± 0.275,0.326 ± 0.253,0.298 ± 0.234,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,Causal-parents,RF,10,0.918 ± 0.045,0.464 ± 0.230,0.357 ± 0.184,0.304 ± 0.220,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,Causal-parents,XGBoost,10,0.932 ± 0.035,0.457 ± 0.239,0.345 ± 0.203,0.297 ± 0.211,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,Logistic,10,0.892 ± 0.095,0.490 ± 0.280,0.245 ± 0.235,0.279 ± 0.221,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,RF,10,0.936 ± 0.030,0.492 ± 0.186,0.259 ± 0.225,0.312 ± 0.211,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,XGBoost,10,0.918 ± 0.068,0.470 ± 0.234,0.292 ± 0.215,0.297 ± 0.218,0.05009596928982726,5,10420
noise_5,0.95,3.8481142849745926,DT-proxy base,Logistic,30,0.862 ± 0.078,0.323 ± 0.205,0.348 ± 0.182,0.238 ± 0.143,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,DT-proxy base,RF,30,0.836 ± 0.074,0.295 ± 0.217,0.330 ± 0.163,0.240 ± 0.161,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,DT-proxy base,XGBoost,30,0.842 ± 0.079,0.283 ± 0.184,0.315 ± 0.159,0.235 ± 0.155,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,Causal-parents,Logistic,30,0.819 ± 0.139,0.336 ± 0.288,0.182 ± 0.241,0.241 ± 0.204,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,Causal-parents,RF,30,0.825 ± 0.071,0.287 ± 0.223,0.118 ± 0.162,0.249 ± 0.195,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,Causal-parents,XGBoost,30,0.850 ± 0.068,0.313 ± 0.244,0.171 ± 0.211,0.245 ± 0.193,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,Logistic,30,0.783 ± 0.167,0.331 ± 0.304,0.184 ± 0.200,0.227 ± 0.190,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,RF,30,0.834 ± 0.063,0.260 ± 0.225,0.129 ± 0.162,0.221 ± 0.181,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,XGBoost,30,0.808 ± 0.099,0.246 ± 0.217,0.157 ± 0.164,0.201 ± 0.159,0.050067268883336534,5,10406
noise_5,0.95,3.8481142849745926,DT-proxy base,Logistic,60,0.736 ± 0.114,0.160 ± 0.117,0.194 ± 0.136,0.160 ± 0.112,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,DT-proxy base,RF,60,0.685 ± 0.130,0.158 ± 0.125,0.168 ± 0.161,0.156 ± 0.122,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,DT-proxy base,XGBoost,60,0.708 ± 0.114,0.156 ± 0.120,0.176 ± 0.151,0.154 ± 0.119,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,Causal-parents,Logistic,60,0.722 ± 0.146,0.208 ± 0.202,0.103 ± 0.178,0.179 ± 0.173,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,Causal-parents,RF,60,0.716 ± 0.104,0.150 ± 0.135,0.071 ± 0.098,0.140 ± 0.118,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,Causal-parents,XGBoost,60,0.721 ± 0.116,0.157 ± 0.127,0.111 ± 0.142,0.147 ± 0.125,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,Logistic,60,0.712 ± 0.173,0.175 ± 0.167,0.113 ± 0.155,0.159 ± 0.138,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,RF,60,0.723 ± 0.124,0.142 ± 0.131,0.045 ± 0.088,0.122 ± 0.108,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,XGBoost,60,0.694 ± 0.154,0.122 ± 0.116,0.082 ± 0.132,0.105 ± 0.095,0.05016368187945311,5,10386
noise_5,0.95,3.8481142849745926,DT-proxy base,Logistic,120,0.653 ± 0.099,0.064 ± 0.035,0.113 ± 0.073,0.078 ± 0.055,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,DT-proxy base,RF,120,0.617 ± 0.137,0.088 ± 0.075,0.052 ± 0.083,0.101 ± 0.096,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,DT-proxy base,XGBoost,120,0.634 ± 0.104,0.095 ± 0.081,0.096 ± 0.097,0.110 ± 0.102,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,Causal-parents,Logistic,120,0.786 ± 0.073,0.195 ± 0.141,0.069 ± 0.110,0.176 ± 0.155,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,Causal-parents,RF,120,0.761 ± 0.051,0.124 ± 0.120,0.041 ± 0.063,0.106 ± 0.098,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,Causal-parents,XGBoost,120,0.781 ± 0.048,0.150 ± 0.133,0.066 ± 0.070,0.146 ± 0.137,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,Logistic,120,0.734 ± 0.112,0.132 ± 0.149,0.104 ± 0.152,0.113 ± 0.138,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,RF,120,0.772 ± 0.091,0.147 ± 0.154,0.052 ± 0.059,0.112 ± 0.133,0.05050212437234453,5,10356
noise_5,0.95,3.8481142849745926,Causal+Lagged Controls,XGBoost,120,0.749 ± 0.071,0.145 ± 0.150,0.062 ± 0.066,0.135 ± 0.143,0.05050212437234453,5,10356
noise_10,0.85,3.226096738448965,DT-proxy base,Logistic,10,0.866 ± 0.069,0.566 ± 0.180,0.537 ± 0.130,0.568 ± 0.208,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,DT-proxy base,RF,10,0.847 ± 0.070,0.523 ± 0.193,0.503 ± 0.146,0.561 ± 0.214,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,DT-proxy base,XGBoost,10,0.853 ± 0.075,0.525 ± 0.195,0.512 ± 0.131,0.555 ± 0.208,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,Causal-parents,Logistic,10,0.872 ± 0.066,0.570 ± 0.200,0.520 ± 0.133,0.566 ± 0.228,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,Causal-parents,RF,10,0.861 ± 0.069,0.564 ± 0.166,0.478 ± 0.111,0.563 ± 0.215,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,Causal-parents,XGBoost,10,0.860 ± 0.079,0.553 ± 0.178,0.488 ± 0.105,0.561 ± 0.202,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,Logistic,10,0.864 ± 0.085,0.568 ± 0.209,0.506 ± 0.163,0.572 ± 0.232,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,RF,10,0.862 ± 0.073,0.544 ± 0.215,0.447 ± 0.130,0.567 ± 0.219,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,XGBoost,10,0.862 ± 0.081,0.547 ± 0.203,0.466 ± 0.141,0.558 ± 0.225,0.15009596928982727,5,10420
noise_10,0.85,3.226096738448965,DT-proxy base,Logistic,30,0.796 ± 0.074,0.440 ± 0.168,0.439 ± 0.118,0.463 ± 0.180,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,DT-proxy base,RF,30,0.781 ± 0.066,0.415 ± 0.171,0.407 ± 0.120,0.446 ± 0.161,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,DT-proxy base,XGBoost,30,0.784 ± 0.071,0.414 ± 0.175,0.419 ± 0.104,0.442 ± 0.164,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,Causal-parents,Logistic,30,0.814 ± 0.068,0.453 ± 0.209,0.407 ± 0.167,0.472 ± 0.217,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,Causal-parents,RF,30,0.800 ± 0.069,0.464 ± 0.178,0.388 ± 0.098,0.488 ± 0.194,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,Causal-parents,XGBoost,30,0.803 ± 0.081,0.473 ± 0.191,0.413 ± 0.091,0.487 ± 0.202,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,Logistic,30,0.805 ± 0.091,0.449 ± 0.221,0.418 ± 0.142,0.465 ± 0.220,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,RF,30,0.788 ± 0.082,0.447 ± 0.199,0.332 ± 0.165,0.476 ± 0.221,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,XGBoost,30,0.797 ± 0.089,0.437 ± 0.220,0.364 ± 0.158,0.462 ± 0.223,0.15020180665000962,5,10406
noise_10,0.85,3.226096738448965,DT-proxy base,Logistic,60,0.729 ± 0.057,0.340 ± 0.125,0.353 ± 0.110,0.371 ± 0.167,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,DT-proxy base,RF,60,0.705 ± 0.052,0.317 ± 0.120,0.344 ± 0.115,0.359 ± 0.144,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,DT-proxy base,XGBoost,60,0.716 ± 0.055,0.324 ± 0.116,0.341 ± 0.114,0.333 ± 0.142,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,Causal-parents,Logistic,60,0.770 ± 0.057,0.369 ± 0.186,0.335 ± 0.155,0.394 ± 0.200,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,Causal-parents,RF,60,0.750 ± 0.038,0.357 ± 0.139,0.286 ± 0.107,0.396 ± 0.162,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,Causal-parents,XGBoost,60,0.753 ± 0.050,0.365 ± 0.164,0.324 ± 0.131,0.386 ± 0.179,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,Logistic,60,0.748 ± 0.092,0.359 ± 0.191,0.356 ± 0.127,0.373 ± 0.185,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,RF,60,0.743 ± 0.069,0.362 ± 0.186,0.260 ± 0.123,0.409 ± 0.204,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,XGBoost,60,0.725 ± 0.109,0.346 ± 0.175,0.300 ± 0.133,0.392 ± 0.185,0.1503947621798575,5,10386
noise_10,0.85,3.226096738448965,DT-proxy base,Logistic,120,0.673 ± 0.051,0.234 ± 0.073,0.307 ± 0.080,0.283 ± 0.114,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,DT-proxy base,RF,120,0.635 ± 0.050,0.228 ± 0.099,0.251 ± 0.100,0.271 ± 0.149,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,DT-proxy base,XGBoost,120,0.647 ± 0.043,0.229 ± 0.095,0.251 ± 0.090,0.273 ± 0.129,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,Causal-parents,Logistic,120,0.771 ± 0.069,0.321 ± 0.145,0.245 ± 0.147,0.364 ± 0.198,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,Causal-parents,RF,120,0.715 ± 0.060,0.275 ± 0.138,0.214 ± 0.123,0.315 ± 0.155,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,Causal-parents,XGBoost,120,0.732 ± 0.054,0.280 ± 0.142,0.235 ± 0.129,0.318 ± 0.163,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,Logistic,120,0.737 ± 0.112,0.318 ± 0.166,0.290 ± 0.109,0.356 ± 0.193,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,RF,120,0.727 ± 0.073,0.292 ± 0.139,0.180 ± 0.119,0.321 ± 0.161,0.15054074932406333,5,10356
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,XGBoost,120,0.719 ± 0.096,0.285 ± 0.155,0.193 ± 0.153,0.322 ± 0.175,0.15054074932406333,5,10356
noise_10,0.9,3.4677307327360563,DT-proxy base,Logistic,10,0.886 ± 0.060,0.516 ± 0.189,0.496 ± 0.109,0.446 ± 0.200,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,DT-proxy base,RF,10,0.869 ± 0.066,0.472 ± 0.205,0.482 ± 0.129,0.436 ± 0.200,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,DT-proxy base,XGBoost,10,0.874 ± 0.071,0.475 ± 0.205,0.475 ± 0.148,0.428 ± 0.202,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,Causal-parents,Logistic,10,0.889 ± 0.057,0.523 ± 0.209,0.463 ± 0.195,0.447 ± 0.230,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,Causal-parents,RF,10,0.879 ± 0.058,0.495 ± 0.163,0.457 ± 0.085,0.448 ± 0.204,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,Causal-parents,XGBoost,10,0.883 ± 0.066,0.492 ± 0.172,0.419 ± 0.085,0.436 ± 0.201,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,Logistic,10,0.879 ± 0.082,0.502 ± 0.232,0.469 ± 0.179,0.445 ± 0.212,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,10,0.868 ± 0.062,0.462 ± 0.212,0.361 ± 0.128,0.450 ± 0.209,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,10,0.870 ± 0.078,0.449 ± 0.226,0.379 ± 0.177,0.428 ± 0.208,0.09990403071017274,5,10420
noise_10,0.9,3.4677307327360563,DT-proxy base,Logistic,30,0.806 ± 0.071,0.369 ± 0.177,0.368 ± 0.098,0.344 ± 0.164,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,DT-proxy base,RF,30,0.783 ± 0.061,0.331 ± 0.187,0.330 ± 0.114,0.318 ± 0.142,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,DT-proxy base,XGBoost,30,0.788 ± 0.065,0.336 ± 0.187,0.317 ± 0.135,0.308 ± 0.138,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal-parents,Logistic,30,0.816 ± 0.065,0.382 ± 0.218,0.348 ± 0.198,0.355 ± 0.199,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal-parents,RF,30,0.816 ± 0.063,0.385 ± 0.184,0.273 ± 0.116,0.387 ± 0.197,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal-parents,XGBoost,30,0.810 ± 0.075,0.390 ± 0.197,0.295 ± 0.120,0.365 ± 0.191,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,Logistic,30,0.800 ± 0.094,0.371 ± 0.237,0.354 ± 0.177,0.346 ± 0.195,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,30,0.803 ± 0.071,0.372 ± 0.220,0.224 ± 0.168,0.378 ± 0.205,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,30,0.804 ± 0.090,0.371 ± 0.228,0.285 ± 0.161,0.368 ± 0.189,0.09994234095714011,5,10406
noise_10,0.9,3.4677307327360563,DT-proxy base,Logistic,60,0.730 ± 0.057,0.259 ± 0.139,0.278 ± 0.121,0.273 ± 0.151,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,DT-proxy base,RF,60,0.700 ± 0.052,0.235 ± 0.124,0.268 ± 0.121,0.260 ± 0.119,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,DT-proxy base,XGBoost,60,0.702 ± 0.064,0.238 ± 0.127,0.265 ± 0.130,0.251 ± 0.141,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal-parents,Logistic,60,0.767 ± 0.058,0.294 ± 0.191,0.237 ± 0.179,0.290 ± 0.202,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal-parents,RF,60,0.757 ± 0.042,0.259 ± 0.154,0.141 ± 0.137,0.283 ± 0.167,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal-parents,XGBoost,60,0.753 ± 0.063,0.279 ± 0.177,0.232 ± 0.141,0.285 ± 0.168,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,Logistic,60,0.739 ± 0.105,0.289 ± 0.199,0.260 ± 0.188,0.274 ± 0.185,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,60,0.747 ± 0.091,0.286 ± 0.180,0.111 ± 0.104,0.303 ± 0.177,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,60,0.740 ± 0.108,0.270 ± 0.179,0.177 ± 0.154,0.282 ± 0.177,0.10003851338340074,5,10386
noise_10,0.9,3.4677307327360563,DT-proxy base,Logistic,120,0.678 ± 0.065,0.159 ± 0.058,0.223 ± 0.081,0.191 ± 0.088,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,DT-proxy base,RF,120,0.624 ± 0.062,0.145 ± 0.075,0.158 ± 0.052,0.179 ± 0.101,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,DT-proxy base,XGBoost,120,0.639 ± 0.037,0.149 ± 0.079,0.175 ± 0.088,0.178 ± 0.113,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal-parents,Logistic,120,0.788 ± 0.059,0.251 ± 0.133,0.179 ± 0.142,0.271 ± 0.184,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal-parents,RF,120,0.729 ± 0.053,0.196 ± 0.126,0.103 ± 0.069,0.205 ± 0.138,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal-parents,XGBoost,120,0.748 ± 0.052,0.209 ± 0.127,0.151 ± 0.115,0.223 ± 0.145,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,Logistic,120,0.744 ± 0.100,0.244 ± 0.150,0.190 ± 0.154,0.241 ± 0.170,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,RF,120,0.752 ± 0.074,0.226 ± 0.149,0.087 ± 0.100,0.240 ± 0.160,0.10023174971031286,5,10356
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,XGBoost,120,0.749 ± 0.081,0.234 ± 0.157,0.150 ± 0.171,0.256 ± 0.165,0.10023174971031286,5,10356
noise_10,0.95,3.896504981201129,DT-proxy base,Logistic,10,0.927 ± 0.045,0.456 ± 0.232,0.419 ± 0.181,0.287 ± 0.169,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,DT-proxy base,RF,10,0.905 ± 0.058,0.412 ± 0.273,0.386 ± 0.251,0.270 ± 0.168,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,DT-proxy base,XGBoost,10,0.913 ± 0.063,0.402 ± 0.274,0.347 ± 0.260,0.275 ± 0.167,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal-parents,Logistic,10,0.912 ± 0.073,0.472 ± 0.258,0.322 ± 0.250,0.289 ± 0.199,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal-parents,RF,10,0.922 ± 0.031,0.416 ± 0.201,0.210 ± 0.198,0.299 ± 0.183,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal-parents,XGBoost,10,0.923 ± 0.039,0.402 ± 0.247,0.249 ± 0.233,0.296 ± 0.180,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,Logistic,10,0.891 ± 0.070,0.447 ± 0.269,0.298 ± 0.242,0.271 ± 0.191,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,RF,10,0.902 ± 0.049,0.397 ± 0.235,0.182 ± 0.204,0.298 ± 0.185,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,Causal+Lagged Controls,XGBoost,10,0.924 ± 0.036,0.382 ± 0.243,0.207 ± 0.214,0.290 ± 0.175,0.05019193857965451,5,10420
noise_10,0.95,3.896504981201129,DT-proxy base,Logistic,30,0.848 ± 0.071,0.281 ± 0.204,0.299 ± 0.153,0.212 ± 0.133,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,DT-proxy base,RF,30,0.800 ± 0.059,0.279 ± 0.193,0.286 ± 0.172,0.200 ± 0.135,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,DT-proxy base,XGBoost,30,0.796 ± 0.063,0.263 ± 0.198,0.285 ± 0.165,0.201 ± 0.135,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal-parents,Logistic,30,0.819 ± 0.097,0.297 ± 0.250,0.176 ± 0.217,0.223 ± 0.171,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal-parents,RF,30,0.826 ± 0.058,0.272 ± 0.156,0.113 ± 0.134,0.218 ± 0.148,0.050163367288103014,5,10406
noise_10,0.95,3.896504981201129,Causal-parents,XGBoost,30,0.839 ± 0.067,0.280 ± 0.175,0.138 ± 0.169,0.227 ± 0.158,0.050163367288103014,5,10406
