roc_auc,roc_auc_mean,roc_auc_std,roc_auc_mean_std,pr_auc,pr_auc_mean,pr_auc_std,pr_auc_mean_std,f1,f1_mean,f1_std,f1_mean_std,brier,brier_mean,brier_std,brier_mean_std,precision,precision_mean,precision_std,precision_mean_std,recall,recall_mean,recall_std,recall_mean_std,top10_alert_precision,top10_alert_precision_mean,top10_alert_precision_std,top10_alert_precision_mean_std,sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,n_folds,n_samples,positive_rate
0.8053371426623569,0.8053371426623569,0.09122815898720757,0.805 ± 0.091,0.449425562804593,0.449425562804593,0.22071159993929607,0.449 ± 0.221,0.4175528942595932,0.4175528942595932,0.14230406916625082,0.418 ± 0.142,0.12518518375542173,0.12518518375542173,0.048666222709806486,0.125 ± 0.049,0.4164534009601818,0.4164534009601818,0.2080548231577233,0.416 ± 0.208,0.457790979311622,0.457790979311622,0.09390604389547777,0.458 ± 0.094,0.46538461538461534,0.46538461538461534,0.21952671582568198,0.465 ± 0.220,noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,5,10406,0.15020180665000962
0.7880470214948531,0.7880470214948531,0.0818163191757192,0.788 ± 0.082,0.44745733422006334,0.44745733422006334,0.19918730993019154,0.447 ± 0.199,0.3315036202816842,0.3315036202816842,0.1647751427763726,0.332 ± 0.165,0.09821485329248568,0.09821485329248568,0.037711141210374145,0.098 ± 0.038,0.6422408424908425,0.6422408424908425,0.2264581196430521,0.642 ± 0.226,0.22973896209465047,0.22973896209465047,0.12630071102408322,0.230 ± 0.126,0.4756410256410257,0.4756410256410257,0.2206841910129736,0.476 ± 0.221,noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,5,10406,0.15020180665000962
0.7973778360357691,0.7973778360357691,0.08892674686981603,0.797 ± 0.089,0.4366803651130143,0.4366803651130143,0.22039280675351575,0.437 ± 0.220,0.36411318418772415,0.36411318418772415,0.1584587190764545,0.364 ± 0.158,0.09574944602152016,0.09574944602152016,0.050673173533051556,0.096 ± 0.051,0.545148676561755,0.545148676561755,0.21332096949561055,0.545 ± 0.213,0.28835811339080536,0.28835811339080536,0.13987512173686006,0.288 ± 0.140,0.46153846153846156,0.46153846153846156,0.22256609652893872,0.462 ± 0.223,noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,5,10406,0.15020180665000962
0.7290333876986722,0.7290333876986722,0.05689708679992211,0.729 ± 0.057,0.3400716239661831,0.3400716239661831,0.12501245570459346,0.340 ± 0.125,0.3530454927421557,0.3530454927421557,0.110330303484335,0.353 ± 0.110,0.17229583277872568,0.17229583277872568,0.04883160924023736,0.172 ± 0.049,0.2859136014668591,0.2859136014668591,0.09722006487797737,0.286 ± 0.097,0.4648009257261533,0.4648009257261533,0.1275113074616552,0.465 ± 0.128,0.37051282051282053,0.37051282051282053,0.16749056711445226,0.371 ± 0.167,noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,5,10386,0.1503947621798575
0.705416979537525,0.705416979537525,0.05215159248809445,0.705 ± 0.052,0.3174010449307691,0.3174010449307691,0.11993070343907661,0.317 ± 0.120,0.34437653824016357,0.34437653824016357,0.11474071389334993,0.344 ± 0.115,0.12736662999015147,0.12736662999015147,0.04560272650293421,0.127 ± 0.046,0.33983358901035354,0.33983358901035354,0.10012939075478883,0.340 ± 0.100,0.35136911831866524,0.35136911831866524,0.13264268577679686,0.351 ± 0.133,0.35897435897435903,0.35897435897435903,0.14362408014364156,0.359 ± 0.144,noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,RF,rf,60,5,10386,0.1503947621798575
0.7157192330387285,0.7157192330387285,0.05510827500271461,0.716 ± 0.055,0.3240114510664145,0.3240114510664145,0.11617067274477391,0.324 ± 0.116,0.34099943432579444,0.34099943432579444,0.11377328711182456,0.341 ± 0.114,0.10419892521173565,0.10419892521173565,0.045269445314541475,0.104 ± 0.045,0.3105939691375664,0.3105939691375664,0.10079814928778387,0.311 ± 0.101,0.3787853492915967,0.3787853492915967,0.1316575557719824,0.379 ± 0.132,0.3333333333333333,0.3333333333333333,0.14153462926807447,0.333 ± 0.142,noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,5,10386,0.1503947621798575
0.7695219031077862,0.7695219031077862,0.0566721344873354,0.770 ± 0.057,0.3687734518408682,0.3687734518408682,0.18607892471201234,0.369 ± 0.186,0.3346983648819798,0.3346983648819798,0.1547541994680339,0.335 ± 0.155,0.12919101850856113,0.12919101850856113,0.043186030784437744,0.129 ± 0.043,0.41559552466509675,0.41559552466509675,0.23433265662808891,0.416 ± 0.234,0.2942503839028684,0.2942503839028684,0.1295667114302445,0.294 ± 0.130,0.3935897435897436,0.3935897435897436,0.20003697882993604,0.394 ± 0.200,noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,5,10386,0.1503947621798575
0.7503013562365781,0.7503013562365781,0.038297476347768374,0.750 ± 0.038,0.3574296636100962,0.3574296636100962,0.13864381350659005,0.357 ± 0.139,0.2857189110828403,0.2857189110828403,0.10749529386032436,0.286 ± 0.107,0.1070092232845116,0.1070092232845116,0.04655836564955251,0.107 ± 0.047,0.5010883740195882,0.5010883740195882,0.1897564859558048,0.501 ± 0.190,0.21169692357832964,0.21169692357832964,0.10144675676226005,0.212 ± 0.101,0.39615384615384613,0.39615384615384613,0.16219342192086098,0.396 ± 0.162,noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,RF,rf,60,5,10386,0.1503947621798575
0.7530092875245046,0.7530092875245046,0.05032090493705656,0.753 ± 0.050,0.36544542992527235,0.36544542992527235,0.1643760229530691,0.365 ± 0.164,0.3237916751650623,0.3237916751650623,0.1307308209829206,0.324 ± 0.131,0.10122776112298504,0.10122776112298504,0.04744684629991989,0.101 ± 0.047,0.476124525051197,0.476124525051197,0.19778949055145315,0.476 ± 0.198,0.25395297570929803,0.25395297570929803,0.11729806159430993,0.254 ± 0.117,0.38589743589743586,0.38589743589743586,0.1785345599208387,0.386 ± 0.179,noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,5,10386,0.1503947621798575
0.7477032826636612,0.7477032826636612,0.09213534802909541,0.748 ± 0.092,0.3591952370151047,0.3591952370151047,0.1912340228515092,0.359 ± 0.191,0.35618705688932334,0.35618705688932334,0.12731261119754517,0.356 ± 0.127,0.14182937032611279,0.14182937032611279,0.04559193368560519,0.142 ± 0.046,0.385635035382227,0.385635035382227,0.20992670499890279,0.386 ± 0.210,0.3910859594861894,0.3910859594861894,0.11020279922809523,0.391 ± 0.110,0.3730769230769231,0.3730769230769231,0.18508886932052693,0.373 ± 0.185,noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,5,10386,0.1503947621798575
