sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.6186044999953177,0.03565319838087599,0.6649798901997089
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.5616291522166238,0.0311028587126846,0.5942565527036276
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.3127242088317871,0.027654594450261576,0.34570300579071045
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.6021623144205936,0.05583075762020071,0.6768411071985988
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.5764441121331936,0.022176354991251458,0.5694499238317111
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.4039061367511749,0.037039936909338926,0.3849872052669525
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.6183313643536139,0.05037443639501963,0.7010138469112578
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.5827828876855504,0.028873591211962802,0.5728068740818049
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.42111343145370483,0.03940277940404036,0.4451058804988861
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.5924299330449128,0.02053073653483618,0.613215246396564
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.5216922225467969,0.029228031811899126,0.5561279308991017
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.29872652888298035,0.04359671841897762,0.3496223986148834
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.5580310922013,0.05921062715183311,0.6520249683662135
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.5664374849771715,0.01741679848879605,0.5418299528288767
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.3653933882713318,0.023146747830988103,0.37480202317237854
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.5788115259996542,0.06275876068856338,0.6014355748389479
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.5870299877753128,0.027485292516351942,0.6030077208237926
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.38665220737457273,0.019367374028722538,0.36265143752098083
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.5646583238129989,0.033153169086150694,0.5998363876912963
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.5363279237792196,0.03387195469079392,0.5431980820208493
noise_5,0.85,3.1758386827288914,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.32498677372932433,0.03400593671176134,0.2894057631492615
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,0.5342719915958896,0.04484926224298058,0.5825171689641101
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,RF,rf,60,0.5661452856891042,0.010010390034402242,0.5666324265043796
noise_5,0.85,3.1758386827288914,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,0.37924261689186095,0.05069362106523739,0.29087328910827637
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,0.5618022225562761,0.05790429096912632,0.6222815050360746
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60,0.5848910085452681,0.014973946916447352,0.5648312731493418
