sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.85,10,Causal-parents,RF,high_vpd,1957,0.1829330608073582
noise_5,0.85,10,Causal-parents,RF,high_par,1961,0.12799592044875063
