sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.85,120,Causal-parents,Logistic,high_vpd,1943,0.28049408131755016
noise_5,0.85,120,Causal-parents,Logistic,high_par,1942,0.22708547888774458
