sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.85,60,Causal-parents,RF,high_vpd,1951,0.22962583290620195
noise_5,0.85,60,Causal-parents,RF,high_par,1953,0.17562724014336917
