sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_10,0.9,10,Causal-parents,XGBoost,high_vpd,2145,0.09557109557109557
missing_10,0.9,10,Causal-parents,XGBoost,high_par,2159,0.07364520611394164
