feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,2.598217301003473,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.4238866481356986,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.1381993357280174,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.4024074891444139,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.3243492945605055,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.27324321629508064,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.535403847694397,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.37811052799224854,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.08648569881916046,missing_10,0.9,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,2.50074372346184,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,0.8679112301007064,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,0.6590102938712854,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,0.5653576870518704,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.4187316214628496,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag2,0.21515637084063302,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.12775314229209384,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag3,0.10200458228277622,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag3,0.0840819935253259,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag2,0.06377457498506367,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.03009395697007118,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag1,0.007625092024287421,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag1,0.32772361890794144,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag2,0.20633306252736552,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag3,0.15301263913124677,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag1,0.06095308103156958,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag2,0.04864087067327731,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag3,0.048586724296601956,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag1,0.035918158131059016,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag2,0.027578052506031764,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag3,0.025630227808373644,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag1,0.02470383031088353,missing_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
