time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-11-15 16:40:00,1.8620629917808138,noise_5,0.0,0.0,1.0,0.0
2024-11-15 16:50:00,1.8139392980698865,noise_5,0.0,0.0,1.0,1.0
2024-11-15 17:00:00,2.025301921697835,noise_5,0.0,0.0,0.0,0.0
2024-11-15 17:10:00,2.3494707837024436,noise_5,0.0,1.0,0.0,0.0
2024-11-15 17:20:00,2.780851825740463,noise_5,0.0,1.0,1.0,1.0
2024-11-15 17:30:00,3.3414183692278137,noise_5,1.0,0.0,1.0,1.0
2024-11-15 17:40:00,3.638240245053815,noise_5,1.0,0.0,0.0,1.0
2024-11-15 17:50:00,3.539477222753316,noise_5,0.0,1.0,1.0,1.0
2024-11-15 18:00:00,3.3293386912327563,noise_5,0.0,1.0,0.0,1.0
2024-11-15 18:10:00,3.3102423091553312,noise_5,1.0,0.0,0.0,1.0
2024-11-15 18:20:00,3.5701360033474607,noise_5,1.0,1.0,1.0,1.0
2024-11-15 18:30:00,3.563229495576362,noise_5,0.0,0.0,1.0,0.0
2024-11-15 18:40:00,3.116518575405596,noise_5,1.0,0.0,1.0,0.0
2024-11-15 18:50:00,3.6195796772775353,noise_5,0.0,1.0,1.0,0.0
2024-11-15 19:00:00,3.1636925104188407,noise_5,0.0,1.0,1.0,0.0
2024-11-15 19:10:00,2.7450924153051943,noise_5,1.0,1.0,1.0,0.0
2024-11-15 19:20:00,3.8144028985495453,noise_5,1.0,1.0,1.0,0.0
2024-11-15 19:30:00,3.7337324337487274,noise_5,1.0,1.0,0.0,0.0
2024-11-15 19:40:00,3.53633300975417,noise_5,1.0,1.0,0.0,0.0
2024-11-15 19:50:00,3.5966990246184487,noise_5,1.0,1.0,0.0,0.0
2024-11-15 20:00:00,3.60544628799164,noise_5,1.0,0.0,0.0,0.0
2024-11-15 20:10:00,3.5713638742195233,noise_5,1.0,0.0,0.0,0.0
2024-11-15 20:20:00,3.701794337918157,noise_5,0.0,0.0,0.0,0.0
2024-11-15 20:30:00,3.3157446571835827,noise_5,0.0,0.0,0.0,0.0
2024-11-15 20:40:00,3.3605188115816027,noise_5,0.0,0.0,0.0,0.0
2024-11-15 20:50:00,2.8194031708285863,noise_5,0.0,0.0,0.0,0.0
2024-11-15 21:00:00,2.915243233220277,noise_5,0.0,0.0,0.0,0.0
2024-11-15 21:10:00,2.535520381912285,noise_5,0.0,0.0,0.0,0.0
2024-11-15 21:20:00,3.2186295731163472,noise_5,0.0,0.0,0.0,0.0
2024-11-15 21:30:00,3.2809020839587255,noise_5,0.0,0.0,0.0,0.0
2024-11-15 21:40:00,3.2240159512900224,noise_5,0.0,0.0,0.0,0.0
2024-11-15 21:50:00,2.424391865412481,noise_5,0.0,0.0,0.0,0.0
2024-11-15 22:00:00,2.5728704910432665,noise_5,0.0,0.0,0.0,0.0
2024-11-15 22:10:00,2.5460200719815376,noise_5,0.0,0.0,0.0,0.0
2024-11-15 22:20:00,2.6026920542753444,noise_5,0.0,0.0,0.0,0.0
2024-11-15 22:30:00,2.831574233277564,noise_5,0.0,0.0,0.0,0.0
2024-11-15 22:40:00,2.685891042257957,noise_5,0.0,0.0,0.0,0.0
2024-11-15 22:50:00,2.2730280640448033,noise_5,0.0,0.0,0.0,0.0
2024-11-15 23:00:00,1.8276990511080058,noise_5,0.0,0.0,0.0,0.0
2024-11-15 23:10:00,2.041725417026681,noise_5,0.0,0.0,0.0,0.0
2024-11-15 23:20:00,1.5928562224063576,noise_5,0.0,0.0,0.0,0.0
2024-11-15 23:30:00,1.0069402623417254,noise_5,0.0,0.0,0.0,0.0
2024-11-15 23:40:00,0.9668052033822079,noise_5,0.0,0.0,0.0,0.0
2024-11-15 23:50:00,0.7576825038235064,noise_5,0.0,0.0,0.0,0.0
2024-11-16 00:00:00,0.7238636831892187,noise_5,0.0,0.0,0.0,0.0
2024-11-16 00:10:00,0.6961378117559995,noise_5,0.0,0.0,0.0,0.0
2024-11-16 00:20:00,0.9062267069638494,noise_5,0.0,0.0,0.0,0.0
2024-11-16 00:30:00,0.5669177599677759,noise_5,0.0,0.0,0.0,0.0
2024-11-16 00:40:00,1.27515223280324,noise_5,0.0,0.0,0.0,0.0
2024-11-16 00:50:00,1.1582208843085162,noise_5,0.0,0.0,0.0,0.0
2024-11-16 01:00:00,1.4020972490934724,noise_5,0.0,0.0,0.0,0.0
2024-11-16 01:10:00,1.264694457356093,noise_5,0.0,0.0,0.0,0.0
2024-11-16 01:20:00,1.2514186980214603,noise_5,0.0,0.0,0.0,0.0
2024-11-16 01:30:00,1.4550770680959104,noise_5,0.0,0.0,0.0,0.0
2024-11-16 01:40:00,1.775244945804772,noise_5,0.0,0.0,0.0,0.0
2024-11-16 01:50:00,1.8669743831231855,noise_5,0.0,0.0,0.0,0.0
2024-11-16 02:00:00,2.0143941503918406,noise_5,0.0,0.0,0.0,0.0
2024-11-16 02:10:00,1.635042904204223,noise_5,0.0,0.0,0.0,0.0
2024-11-16 02:20:00,1.899828209475391,noise_5,0.0,0.0,0.0,0.0
2024-11-16 02:30:00,2.229882754350861,noise_5,0.0,0.0,0.0,0.0
2024-11-16 02:40:00,2.116508049231257,noise_5,0.0,0.0,0.0,0.0
