sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.9,10,DT-proxy base,XGBoost,high_vpd,1957,0.13030148185998977
noise_5,0.9,10,DT-proxy base,XGBoost,high_par,1961,0.09077001529831719
