sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.9,120,Causal-parents,Logistic,high_vpd,1943,0.19969119917653114
noise_5,0.9,120,Causal-parents,Logistic,high_par,1942,0.15396498455200824
