sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_5,0.9,30,DT-proxy base,Logistic,high_vpd,1950,0.13846153846153847
noise_5,0.9,30,DT-proxy base,Logistic,high_par,1955,0.10230179028132992
