time,sensor_scenario,compartment/leaf_temperature,compartment/air_temperature,deltaT_raw
2024-09-02 22:00:00,noise_5,,21.118617339774765,
2024-09-02 22:10:00,noise_5,,21.122265354586453,
2024-09-02 22:20:00,noise_5,,21.07855487650041,
2024-09-02 22:30:00,noise_5,,21.393177546334083,
2024-09-02 22:40:00,noise_5,,21.363125997425584,
2024-09-02 22:50:00,noise_5,,21.636889251058484,
2024-09-02 23:00:00,noise_5,,21.501080253681245,
2024-09-02 23:10:00,noise_5,,21.800887834047888,
2024-09-02 23:20:00,noise_5,,22.20231567297947,
2024-09-02 23:30:00,noise_5,,22.12401437687885,
2024-09-02 23:40:00,noise_5,,22.189990183433476,
2024-09-02 23:50:00,noise_5,,22.352915277989386,
2024-09-03 00:00:00,noise_5,,22.067222745692437,
2024-09-03 00:10:00,noise_5,,22.20750263756012,
2024-09-03 00:20:00,noise_5,,22.007636083376255,
2024-09-03 00:30:00,noise_5,,21.790165028533142,
2024-09-03 00:40:00,noise_5,,21.746699370226473,
2024-09-03 00:50:00,noise_5,,21.55001325371738,
2024-09-03 01:00:00,noise_5,,21.35183869702001,
2024-09-03 01:10:00,noise_5,,21.357285993543215,
2024-09-03 01:20:00,noise_5,,21.459490862521786,
2024-09-03 01:30:00,noise_5,,21.208092912440748,
2024-09-03 01:40:00,noise_5,,21.225056324930076,
2024-09-03 01:50:00,noise_5,,21.014440453224104,
2024-09-03 02:00:00,noise_5,,21.164581274873434,
2024-09-03 02:10:00,noise_5,,21.0117041682767,
2024-09-03 02:20:00,noise_5,,21.30349396116025,
2024-09-03 02:30:00,noise_5,,21.374518727099176,
2024-09-03 02:40:00,noise_5,,21.389237113747246,
2024-09-03 02:50:00,noise_5,,21.061862329814026,
2024-09-03 03:00:00,noise_5,,21.26877347644661,
2024-09-03 03:10:00,noise_5,,21.143432606673805,
2024-09-03 03:20:00,noise_5,,21.103128471808223,
2024-09-03 03:30:00,noise_5,,21.330065082193286,
2024-09-03 03:40:00,noise_5,,21.268439459052207,
2024-09-03 03:50:00,noise_5,,21.09347228973932,
2024-09-03 04:00:00,noise_5,,20.8460118059697,
2024-09-03 04:10:00,noise_5,,20.84995405731159,
2024-09-03 04:20:00,noise_5,,20.65296760691459,
2024-09-03 04:30:00,noise_5,,20.62716928976668,
2024-09-03 04:40:00,noise_5,,20.56249691131137,
2024-09-03 04:50:00,noise_5,,20.503975335291607,
2024-09-03 05:00:00,noise_5,,20.542026482316064,
2024-09-03 05:10:00,noise_5,,20.682273060888043,
2024-09-03 05:20:00,noise_5,,20.857033626081687,
2024-09-03 05:30:00,noise_5,,21.33983073300051,
2024-09-03 05:40:00,noise_5,,21.60235456675036,
2024-09-03 05:50:00,noise_5,,21.77797085316623,
2024-09-03 06:00:00,noise_5,,21.67199692304414,
2024-09-03 06:10:00,noise_5,,21.61976072929077,
2024-09-03 06:20:00,noise_5,,21.973417648821865,
2024-09-03 06:30:00,noise_5,,22.422184895070043,
2024-09-03 06:40:00,noise_5,,22.157940511122938,
2024-09-03 06:50:00,noise_5,,22.396352129609355,
2024-09-03 07:00:00,noise_5,,22.58575205741105,
2024-09-03 07:10:00,noise_5,,22.547970423241424,
2024-09-03 07:20:00,noise_5,,22.799338187406573,
