target,stage,tau_max,tau_cap_lags,n_edges,n_features,pcmci_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,n_folds
compartment/air_temperature,coarse,6,12,17,17,55.97049930004869,0.0709337444834602,0.008269601743620753,0.10388760591365007,0.010124470421475958,0.9804715538179906,5
compartment/air_temperature,coarse,9,12,18,18,89.8296793999616,0.06952604848801243,0.009022602264242193,0.10265837417646406,0.011281558459646075,0.9809220207823524,5
compartment/air_temperature,coarse,12,12,18,18,92.14130410004873,0.07037430098808319,0.008184367134129131,0.10352834749243753,0.010375158729945537,0.9805801726107927,5
compartment/air_temperature,fine,1,12,7,7,5.612052700016648,0.07579051626012494,0.008752585430819358,0.11007890910551973,0.00741495075867577,0.9780669343278443,5
compartment/air_temperature,fine,2,12,13,13,14.877325500012375,0.07235211577791982,0.009171314366459899,0.10484977873154042,0.009874826584211684,0.9800891910746283,5
compartment/air_temperature,fine,3,12,14,14,23.02779369999189,0.07145030527906629,0.00839087892900978,0.10406926873268349,0.010097602046914917,0.9804063352357504,5
compartment/air_temperature,fine,4,12,15,15,39.63875300006475,0.07135466458895114,0.008038673802019504,0.104196348753174,0.009794373681191558,0.9803459370942447,5
compartment/air_temperature,fine,5,12,17,17,50.10838860005606,0.07095685232684085,0.008372665946951442,0.10377508163205167,0.010276662202532271,0.9805158387711671,5
compartment/humidity_deficit,coarse,1,12,7,7,5.817850399995223,0.06327903012972391,0.015840739050739766,0.09404594929163061,0.01644244914838676,0.9853007323743765,5
compartment/humidity_deficit,coarse,3,12,12,12,23.627707300009206,0.06259494704202281,0.015437295169639279,0.09260190926623678,0.01569641149230294,0.9854953518639065,5
compartment/humidity_deficit,coarse,6,12,12,12,51.49471680005081,0.06255040854628544,0.01498788772252342,0.09244949484208169,0.015428721832634362,0.9855189264790842,5
compartment/humidity_deficit,fine,8,12,17,17,84.52222919999622,0.06130759920080865,0.011594260229528452,0.09031226307794953,0.012278812862101422,0.9856454161092636,5
compartment/humidity_deficit,fine,9,12,18,18,91.26779359998181,0.06134294103717035,0.01135648669520581,0.09009426021415232,0.011915463236095042,0.985704770206139,5
compartment/humidity_deficit,fine,10,12,16,16,91.60702759993728,0.059818215405478006,0.014367927966090776,0.08915300190446084,0.01520475525941727,0.9865794753266908,5
compartment/humidity_deficit,fine,11,12,17,17,93.93046629999299,0.05793114350058302,0.011429951340163577,0.08722186783648612,0.012523370391865213,0.986688623392013,5
compartment/humidity_deficit,fine,12,12,16,16,98.89937700005248,0.0545627472472794,0.007858384963768998,0.0850177153528336,0.010598679728037222,0.9872380318237264,5
compartment/co2_concentration,coarse,9,12,19,19,86.43318200006615,0.09634838096453877,0.009053529575979801,0.1461571345468252,0.014856452076317167,0.9520390072289102,5
compartment/co2_concentration,coarse,12,12,21,21,93.92884659999982,0.09540064663159546,0.009006029526827344,0.1448005111891449,0.01430912849130471,0.9526630019984121,5
compartment/co2_concentration,fine,1,12,8,8,6.176065700012259,0.1150243932225961,0.012524192535732673,0.17328688852024082,0.021706683297278116,0.9341217978461611,5
