sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.85,60,Causal+Lagged Controls,XGBoost,high_vpd,1951,0.21373654536135314
noise_10,0.85,60,Causal+Lagged Controls,XGBoost,high_par,1953,0.16692268305171531
