sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.85,30,Causal-parents,XGBoost,high_vpd,1950,0.18717948717948718
noise_10,0.85,30,Causal-parents,XGBoost,high_par,1955,0.14526854219948848
