time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-09-02 22:00:00,,noise_10,,,,
2024-09-02 22:10:00,,noise_10,,,,
2024-09-02 22:20:00,,noise_10,,,,
2024-09-02 22:30:00,,noise_10,,,,
2024-09-02 22:40:00,,noise_10,,,,
2024-09-02 22:50:00,,noise_10,,,,
2024-09-02 23:00:00,,noise_10,,,,
2024-09-02 23:10:00,,noise_10,,,,
2024-09-02 23:20:00,,noise_10,,,,
2024-09-02 23:30:00,,noise_10,,,,
2024-09-02 23:40:00,,noise_10,,,,
2024-09-02 23:50:00,,noise_10,,,,
2024-09-03 00:00:00,,noise_10,,,,
2024-09-03 00:10:00,,noise_10,,,,
2024-09-03 00:20:00,,noise_10,,,,
2024-09-03 00:30:00,,noise_10,,,,
2024-09-03 00:40:00,,noise_10,,,,
2024-09-03 00:50:00,,noise_10,,,,
2024-09-03 01:00:00,,noise_10,,,,
2024-09-03 01:10:00,,noise_10,,,,
2024-09-03 01:20:00,,noise_10,,,,
2024-09-03 01:30:00,,noise_10,,,,
2024-09-03 01:40:00,,noise_10,,,,
2024-09-03 01:50:00,,noise_10,,,,
2024-09-03 02:00:00,,noise_10,,,,
2024-09-03 02:10:00,,noise_10,,,,
2024-09-03 02:20:00,,noise_10,,,,
2024-09-03 02:30:00,,noise_10,,,,
2024-09-03 02:40:00,,noise_10,,,,
2024-09-03 02:50:00,,noise_10,,,,
2024-09-03 03:00:00,,noise_10,,,,
2024-09-03 03:10:00,,noise_10,,,,
2024-09-03 03:20:00,,noise_10,,,,
2024-09-03 03:30:00,,noise_10,,,,
2024-09-03 03:40:00,,noise_10,,,,
2024-09-03 03:50:00,,noise_10,,,,
2024-09-03 04:00:00,,noise_10,,,,
2024-09-03 04:10:00,,noise_10,,,,
2024-09-03 04:20:00,,noise_10,,,,
2024-09-03 04:30:00,,noise_10,,,,
2024-09-03 04:40:00,,noise_10,,,,
2024-09-03 04:50:00,,noise_10,,,,
2024-09-03 05:00:00,,noise_10,,,,
2024-09-03 05:10:00,,noise_10,,,,
2024-09-03 05:20:00,,noise_10,,,,
2024-09-03 05:30:00,,noise_10,,,,
2024-09-03 05:40:00,,noise_10,,,,
2024-09-03 05:50:00,,noise_10,,,,
2024-09-03 06:00:00,,noise_10,,,,
2024-09-03 06:10:00,,noise_10,,,,
2024-09-03 06:20:00,,noise_10,,,,
2024-09-03 06:30:00,,noise_10,,,,
2024-09-03 06:40:00,,noise_10,,,,
2024-09-03 06:50:00,,noise_10,,,,
2024-09-03 07:00:00,,noise_10,,,,
2024-09-03 07:10:00,,noise_10,,,,
2024-09-03 07:20:00,,noise_10,,,,
2024-09-03 07:30:00,,noise_10,,,,
2024-09-03 07:40:00,,noise_10,,,,
