feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,1.313074806521503,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.4481600989376003,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.35438862059797954,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.3906489200078074,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.322694032779245,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.28665704721294766,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.5311024785041809,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.32588839530944824,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.14300911128520966,noise_10,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,1.2048687079180393,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,0.3693288690147364,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag2,0.36653301701748775,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.2946302375259751,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,0.29452534639078015,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.1914931947125428,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.16347473570910068,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,0.15794705651228721,noise_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
