sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.85,10,Causal+Lagged Controls,Logistic,high_vpd,1957,0.17322432294328052
noise_10,0.85,10,Causal+Lagged Controls,Logistic,high_par,1961,0.12901580826109127
