sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.85,120,Causal-parents,XGBoost,high_vpd,1943,0.26299536798764794
noise_10,0.85,120,Causal-parents,XGBoost,high_par,1942,0.21009268795056643
