sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_10,0.85,10,Causal-parents,RF,high_vpd,2145,0.14871794871794872
missing_10,0.85,10,Causal-parents,RF,high_par,2159,0.10560444650301065
