feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,2.930080179260505,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.43737536118027726,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.151732112566509,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.4167392175518622,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.31699508479260774,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.26626569765553,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.5619823336601257,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.3532145023345947,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.08480320870876312,missing_10,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,2.7558183487858106,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,1.1543001209791306,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,0.9988645368165434,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,0.9048254846520851,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag3,0.2885086217796357,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.2688454762196811,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag3,0.2504678313761238,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag2,0.23381306124641058,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.21990063609418647,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag1,0.07625800524911616,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.06007691570061635,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag2,0.019143278157127665,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag1,0.3394462430549801,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag2,0.2076564565878288,missing_10,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
