sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.6262173904782623,0.047477818987874155,0.6606671321850792
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.6072012673580923,0.05991189954977045,0.6906769310249973
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.35803595185279846,0.03327654622821478,0.3250316381454468
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.6139782400203618,0.0425617622988937,0.6849940486169972
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.571637844261717,0.036833879691297124,0.5769618434803641
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.46269904971122744,0.034269633530159806,0.444871723651886
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.6262443886112378,0.04804743567625847,0.6648412710104727
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.5770114433883992,0.02179751552251382,0.6004453818992561
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.47104055881500245,0.02884557810002437,0.4228683114051819
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.6282882547942787,0.017543101888331594,0.6394603231314225
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.5966243192326951,0.03368826954776357,0.6373602466280469
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.34381401538848877,0.019178050495590144,0.3729478120803833
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.5935988361853892,0.0523708154343528,0.676135422692758
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.5701598426252527,0.03215208128002471,0.5836453787384931
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.4240910053253174,0.006600822801449772,0.4153958261013031
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.6323079980140662,0.04685492113275795,0.6713382203008382
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.580548679188386,0.02859039446729272,0.5958095886179229
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.41167248487472535,0.01243727218870302,0.39456844329833984
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.5880886707753223,0.020749940868803107,0.6133722600765174
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.5983610880769662,0.013458240613277741,0.5779373536220477
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.3783513307571411,0.05010252426846592,0.3195659816265106
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,0.5727867627433512,0.04059925282095603,0.6352585790960049
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,RF,rf,60,0.5723123753572998,0.02218270598972389,0.5686087752149247
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,0.3832062780857086,0.040924609033561314,0.3647781014442444
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,0.5786177826427997,0.055635550354993235,0.644106174013722
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60,0.5788231597671555,0.021675045455114974,0.5941594518137616
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,60,0.3928319692611694,0.017301767649107444,0.3767411410808563
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,120,0.5378935892340566,0.016624389467940863,0.5620824137867337
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,RF,rf,120,0.5202250014771149,0.033472816027515846,0.5585860059193425
missing_10,0.85,3.2900000000000027,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,120,0.31060039401054385,0.04423496882971042,0.3114149570465088
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,120,0.5646098978125861,0.026398453468654756,0.5913602519385338
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,RF,rf,120,0.5581298069991435,0.02315030098373026,0.5907840578449365
missing_10,0.85,3.2900000000000027,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,120,0.37770716547966005,0.03922599270651056,0.324288934469223
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,120,0.5689245114903774,0.028260896641084426,0.6041619390686809
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,120,0.578748375412995,0.021176724296872913,0.5792729857496869
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,120,0.3951557338237762,0.04196157413275922,0.35719233751296997
