sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_10,0.85,120,DT-proxy base,XGBoost,high_vpd,2147,0.22822543083372146
missing_10,0.85,120,DT-proxy base,XGBoost,high_par,2149,0.17356910190786412
