sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
missing_10,0.85,60,Causal-parents,RF,high_vpd,2145,0.18321678321678322
missing_10,0.85,60,Causal-parents,RF,high_par,2155,0.1359628770301624
