sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.9,10,DT-proxy base,XGBoost,high_vpd,1957,0.1267245784363822
noise_10,0.9,10,DT-proxy base,XGBoost,high_par,1961,0.09178990311065782
