sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.6554226319207181,0.05306984378573374,0.7269033025438405
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.5016785649767537,0.025789664284446803,0.5386648287176219
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.34837827682495115,0.028624569647721552,0.3652356266975403
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.6557848765492389,0.03331959099619371,0.6950232050017479
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.5482095308141789,0.032318152876417004,0.5632756717287103
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.4144315540790558,0.02940774160323757,0.43224596977233887
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.6892406266090113,0.05937017507188503,0.7806460359323503
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.561162930936584,0.029075822159143172,0.5553396787844986
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.39527790546417235,0.04087997694708713,0.38111889362335205
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.650252755251658,0.037294633897914965,0.6819310106149403
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.5417303948863197,0.02072717916599734,0.5522792613967608
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.269252610206604,0.05189087176226262,0.20159883797168732
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.6172375444543626,0.06116578081111928,0.6918908131977894
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.5661538740843779,0.02430311381956564,0.5571484377198824
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.3548151910305023,0.04960455847778311,0.2894185185432434
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.648848156274265,0.04491461655950957,0.6730845909864139
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.5769481764792478,0.041780192824052605,0.5376587997552086
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.3649255156517029,0.030868898480435655,0.32407617568969727
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.5960348587316509,0.036434352349543085,0.6341033611872146
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.5047645088097312,0.02541657102793972,0.4985361254148811
noise_10,0.9,3.4677307327360563,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.2628346115350723,0.03448304496865901,0.23254796862602234
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,0.6031258395898463,0.05490578526108059,0.6688993141366767
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,RF,rf,60,0.5501398562185564,0.024339946214796543,0.5511472529459388
noise_10,0.9,3.4677307327360563,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,0.33061509132385253,0.04370407347019347,0.28333887457847595
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,0.6371345386097853,0.039139286724336905,0.6578727236565576
noise_10,0.9,3.4677307327360563,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60,0.5530514155094528,0.025112467186433923,0.5493733333270132
