feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,1.4128322596883864,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.5120082165383851,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.27750261681962696,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.39875938468682764,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.3186600177585865,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.28258059755458576,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.5398752093315125,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.30720317363739014,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.1529216170310974,noise_10,0.9,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,1.3238580549497152,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,0.44787137097553154,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,0.4286506132499925,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag2,0.41100621079002686,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,0.2857211061877967,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.20095874937751557,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.17710426309033186,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.14151744622657902,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag1,0.09823479656029366,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag3,0.05992784103872262,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag3,0.025456472407242133,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag2,0.00010522507335946138,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag1,0.26251264736867386,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag2,0.1543123825485316,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag3,0.1194335990832452,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag1,0.07246088800753392,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag3,0.06661622899808897,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag2,0.06466579239458765,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag2,0.049864258143896584,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag1,0.04796597804692481,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag3,0.04612134320108473,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag1,0.04124603274294627,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag2,0.03835795953948179,noise_10,0.9,Causal-parents,CAUSAL_PARENTS,RF,rf,10
