sensor_scenario,event_q,horizon_min,model,algorithm,env_type,n,positive_rate
noise_10,0.9,30,Causal-parents,XGBoost,high_vpd,1950,0.13743589743589743
noise_10,0.9,30,Causal-parents,XGBoost,high_par,1955,0.10179028132992328
