tau_max,n_total_edges,n_leaf_parents,air_t_to_leaf_t_identified,mean_abs_edge_strength,runtime_seconds,forecast_mae,forecast_mae_sd,forecast_rmse,forecast_rmse_sd,forecast_r2,forecast_n_features,forecast_n_folds
3,89,5,True,0.21717899830061035,6.306880100048147,0.05132783254109202,0.004462346377618943,0.06999419251195119,0.006915258096148934,0.9875717343175843,5,5
6,109,6,True,0.18585485487850495,15.901022900012322,0.05549557918875805,0.00725074642603765,0.07569059498964273,0.00893084715029677,0.9857359538294229,6,5
9,115,8,True,0.17951868498936843,18.91409009997733,0.05328488770574047,0.005539925352979208,0.07288578951890634,0.007278748283559899,0.9866996383407439,8,5
12,118,7,True,0.17380172259173735,22.82137599994894,0.05080257797056964,0.0049389263375722225,0.07014086584474785,0.008008010456358934,0.9874901378894831,7,5
