method,use_autolag,use_hierarchy,fixed_tau_max,global_tau_max,leaf_tau_hat,n_total_edges,n_leaf_parents,n_inadmissible_edges,air_t_to_leaf_t_identified,mean_abs_edge_strength,max_abs_edge_strength,final_pcmciplus_seconds,bootstrap_seconds,total_variant_seconds,bootstrap_reps,bootstrap_threshold_for_summary,forecast_mae,forecast_mae_sd,forecast_rmse,forecast_rmse_sd,forecast_r2,forecast_n_features,forecast_n_folds,autolag_search_seconds_shared,total_with_autolag_seconds
standard_pcmciplus,False,False,12,12,12,198,8,88,True,0.12470376221693263,0.8495014498267492,86.36665699991863,0.0,86.36665699991863,0,0.6,0.05406692828157318,0.00568435275510724,0.07383257970489172,0.007637211972065117,0.9863688448163188,8,5,0.0,86.36665699991863
hierarchical_pcmciplus,False,True,12,12,12,118,7,0,True,0.17380172259173735,0.8852379750216768,22.846177499974146,0.0,22.846177499974146,0,0.6,0.05080257797056964,0.0049389263375722225,0.07014086584474785,0.008008010456358934,0.9874901378894831,7,5,0.0,22.846177499974146
autolag_pcmciplus,True,False,12,36,1,116,4,61,True,0.16992771520127278,0.8524860906662215,26.976449500070885,0.0,26.976449500070885,0,0.6,0.053268070372278785,0.005441138108720314,0.07240499449104915,0.007634142150635539,0.9867372143827016,4,5,26713.052525000065,26740.028974500136
hierarchical_autolag_pcmciplus,True,True,12,36,1,74,3,0,True,0.2275083935096558,0.8847141802220531,11.270717400009744,183.60843989998102,194.87915729999077,30,0.6,0.05274940775621961,0.005014272216141519,0.07162430544425721,0.007150993608367858,0.9870062615441035,3,5,26713.052525000065,26907.931682300055
