method,use_autolag,use_hierarchy,fixed_tau_max,global_tau_max,leaf_tau_hat,autolag_search_seconds_shared,final_pcmciplus_seconds,bootstrap_seconds,total_variant_seconds,total_with_autolag_seconds,bootstrap_reps
standard_pcmciplus,False,False,12,12,12,0.0,86.36665699991863,0.0,86.36665699991863,86.36665699991863,0
hierarchical_pcmciplus,False,True,12,12,12,0.0,22.846177499974146,0.0,22.846177499974146,22.846177499974146,0
autolag_pcmciplus,True,False,12,36,1,26713.052525000065,26.976449500070885,0.0,26.976449500070885,26740.028974500136,0
hierarchical_autolag_pcmciplus,True,True,12,36,1,26713.052525000065,11.270717400009744,183.60843989998102,194.87915729999077,26907.931682300055,30
